Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2004,Удио становништва које живи испод националне границе сиромаштва,Број,Укупно,199752.0
2007,Удио становништва које живи испод националне границе сиромаштва,Број,Укупно,182389.0
2011,Удио становништва које живи испод националне границе сиромаштва,Број,Укупно,152909.0
2015,Удио становништва које живи испод националне границе сиромаштва,Број,Укупно,126043.0
2004,Удио становништва које живи испод националне границе сиромаштва,Проценат,Укупно,15.8
2007,Удио становништва које живи испод националне границе сиромаштва,Проценат,Укупно,15.6
2011,Удио становништва које живи испод националне границе сиромаштва,Проценат,Укупно,14.4
2015,Удио становништва које живи испод националне границе сиромаштва,Проценат,Укупно,12.8
2004,Удио домаћинстава која живе испод националне границе сиромаштва,Број,Укупно,63973.0
2007,Удио домаћинстава која живе испод националне границе сиромаштва,Број,Укупно,64708.0
2011,Удио домаћинстава која живе испод националне границе сиромаштва,Број,Укупно,53234.0
2015,Удио домаћинстава која живе испод националне границе сиромаштва,Број,Укупно,49805.0
2004,Удио домаћинстава која живе испод националне границе сиромаштва,Проценат,Укупно,16.1
2007,Удио домаћинстава која живе испод националне границе сиромаштва,Проценат,Укупно,17.3
2011,Удио домаћинстава која живе испод националне границе сиромаштва,Проценат,Укупно,14.8
2015,Удио домаћинстава која живе испод националне границе сиромаштва,Проценат,Укупно,13.9
