Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2011,SI_POV_HHDS,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,13.5
2011,SI_POV_HHDS,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,18.7
2015,SI_POV_HHDS,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,12.1
2015,SI_POV_HHDS,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,18.6
2011,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y0T35,0.0
2011,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y36T45,10.8
2011,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y46T55,15.6
2011,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y56T65,11.7
2011,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y_GE65,19.5
2015,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y0T35,0.0
2015,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y36T45,12.7
2015,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y46T55,10.5
2015,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y56T65,11.7
2015,SI_POV_HHDA,Проценат,Оба пола или без подјеле по полу,Y_GE65,19.2
