Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Приступ услугама,Value
2011,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Веома тешко,3.5
2011,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Тешко,20.4
2011,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Лако,58.7
2011,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Веома лако,16.7
2011,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Услуга се не користи,0.0
2015,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Веома тешко,6.8
2015,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Тешко,18.9
2015,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Лако,58.4
2015,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Веома лако,15.8
2015,Приступачност домаћинства услугама,Проценат,Продавница мјешовите робе,Услуга се не користи,0.0
2011,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Веома тешко,5.0
2011,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Тешко,28.6
2011,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Лако,42.5
2011,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Веома лако,11.6
2011,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Услуга се не користи,12.3
2015,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Веома тешко,13.5
2015,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Тешко,27.8
2015,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Лако,39.9
2015,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Веома лако,11.8
2015,Приступачност домаћинства услугама,Проценат,Банкарске услуге,Услуга се не користи,7.0
2011,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Веома тешко,4.3
2011,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Тешко,24.8
2011,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Лако,51.1
2011,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Веома лако,12.9
2011,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Услуга се не користи,7.0
2015,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Веома тешко,11.8
2015,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Тешко,23.5
2015,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Лако,48.6
2015,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Веома лако,12.8
2015,Приступачност домаћинства услугама,Проценат,Поштанске услуге,Услуга се не користи,3.0
2011,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Веома тешко,3.4
2011,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Тешко,22.9
2011,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Лако,50.0
2011,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Веома лако,12.0
2011,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Услуга се не користи,11.7
2015,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Веома тешко,8.4
2015,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Тешко,23.0
2015,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Лако,46.8
2015,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Веома лако,11.3
2015,Приступачност домаћинства услугама,Проценат,Јавни транспорт,Услуга се не користи,11.0
2011,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Веома тешко,4.5
2011,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Тешко,30.3
2011,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Лако,52.0
2011,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Веома лако,12.5
2011,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Услуга се не користи,0.0
2015,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Веома тешко,10.2
2015,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Тешко,28.0
2015,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Лако,48.7
2015,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Веома лако,12.6
2015,Приступачност домаћинства услугама,Проценат,Установа примарне здравствене заштите,Услуга се не користи,0.0
2011,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Веома тешко,0.0
2011,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Тешко,8.3
2011,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Лако,20.8
2011,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Веома лако,6.4
2011,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Услуга се не користи,63.6
2015,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Веома тешко,4.3
2015,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Тешко,8.8
2015,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Лако,22.4
2015,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Веома лако,7.1
2015,Приступачност домаћинства услугама,Проценат,Установа предшколског и основног образовања,Услуга се не користи,57.0
2011,"Становништво које у домаћинству нема купатило, туш и нужник с водокотлићем",Проценат,Нема купатило са WC-ом,_T,17.7
2011,"Становништво које у домаћинству нема купатило, туш и нужник с водокотлићем",Проценат,Нема WC посебно,_T,83.3
2015,"Становништво које у домаћинству нема купатило, туш и нужник с водокотлићем",Проценат,Нема купатило са WC-ом,_T,15.8
2015,"Становништво које у домаћинству нема купатило, туш и нужник с водокотлићем",Проценат,Нема WC посебно,_T,22.9
2011,Становништво које не може да одржи дом довољно топлим,Проценат,Без подјеле,,30.0
2015,Становништво које не може да одржи дом довољно топлим,Проценат,Без подјеле,,21.2
