Year,SERIES,UNIT_MEASURE,Value
2018,Основни капитал према укупном износу изложености ризику (%),Проценат,16.21
2019,Основни капитал према укупном износу изложености ризику (%),Проценат,16.87
2020,Основни капитал према укупном износу изложености ризику (%),Проценат,17.52
2021,Основни капитал према укупном износу изложености ризику (%),Проценат,18.31
2018,Регулаторни капитал према укупном износу изложености ризику (%),Проценат,17.66
2019,Регулаторни капитал према укупном износу изложености ризику (%),Проценат,18.31
2020,Регулаторни капитал према укупном износу изложености ризику (%),Проценат,19.33
2021,Регулаторни капитал према укупном износу изложености ризику (%),Проценат,19.15
2018,Капитал према активи (%),Проценат,12.44
2019,Капитал према активи (%),Проценат,12.58
2020,Капитал према активи (%),Проценат,12.39
2021,Капитал према активи (%),Проценат,11.69
2018,НПА према укупној активи (%),Проценат,7.17
2019,НПА према укупној активи (%),Проценат,5.04
2020,НПА према укупној активи (%),Проценат,3.62
2021,НПА према укупној активи (%),Проценат,2.54
2018,Неквалитетна актива умањена за резервисања према основном капиталу (%),Проценат,19.1
2019,Неквалитетна актива умањена за резервисања према основном капиталу (%),Проценат,10.66
2020,Неквалитетна актива умањена за резервисања према основном капиталу (%),Проценат,6.18
2021,Неквалитетна актива умањена за резервисања према основном капиталу (%),Проценат,4.56
2018,Неквалитетни кредити умањени за резервисања према основном капиталу (%),Проценат,18.34
2019,Неквалитетни кредити умањени за резервисања према основном капиталу (%),Проценат,9.42
2020,Неквалитетни кредити умањени за резервисања према основном капиталу (%),Проценат,5.99
2021,Неквалитетни кредити умањени за резервисања према основном капиталу (%),Проценат,4.34
2018,НПЛ према укупним кредитима (%),Проценат,9.54
2019,НПЛ према укупним кредитима (%),Проценат,6.95
2020,НПЛ према укупним кредитима (%),Проценат,5.23
2021,НПЛ према укупним кредитима (%),Проценат,3.98
2018,Поврат на активу (РОА) (%),Проценат,1.13
2019,Поврат на активу (РОА) (%),Проценат,1.35
2020,Поврат на активу (РОА) (%),Проценат,0.69
2021,Поврат на активу (РОА) (%),Проценат,1.38
2018,Поврат на дионички капитал (%),Проценат,8.79
2019,Поврат на дионички капитал (%),Проценат,10.75
2020,Поврат на дионички капитал (%),Проценат,5.5
2021,Поврат на дионички капитал (%),Проценат,11.25
2018,Нето каматни приход према укупном приходу (%),Проценат,60.65
2019,Нето каматни приход према укупном приходу (%),Проценат,58.07
2020,Нето каматни приход према укупном приходу (%),Проценат,58.87
2021,Нето каматни приход према укупном приходу (%),Проценат,56.84
2018,Некаматни расходи према укупном приходу (%),Проценат,78.24
2019,Некаматни расходи према укупном приходу (%),Проценат,73.22
2020,Некаматни расходи према укупном приходу (%),Проценат,85.81
2021,Некаматни расходи према укупном приходу (%),Проценат,71.68
2018,Ликвидна средства према укупној активи (%),Проценат,26.7
2019,Ликвидна средства према укупној активи (%),Проценат,22.97
2020,Ликвидна средства према укупној активи (%),Проценат,22.87
2021,Ликвидна средства према укупној активи (%),Проценат,28.72
2018,Ликвидна средства према краткорочним финансијским обавезама (%),Проценат,39.96
2019,Ликвидна средства према краткорочним финансијским обавезама (%),Проценат,35.03
2020,Ликвидна средства према краткорочним финансијским обавезама (%),Проценат,33.75
2021,Ликвидна средства према краткорочним финансијским обавезама (%),Проценат,40.73
2018,Депозити према кредитима умањеним за међубанкарске кредите (%),Проценат,105.98
2019,Депозити према кредитима умањеним за међубанкарске кредите (%),Проценат,103.1
2020,Депозити према кредитима умањеним за међубанкарске кредите (%),Проценат,106.81
2021,Депозити према кредитима умањеним за међубанкарске кредите (%),Проценат,121.63
2018,Краткорочне финансијске обавезе према укупним обавезама (%),Проценат,76.4
2019,Краткорочне финансијске обавезе према укупним обавезама (%),Проценат,75.08
2020,Краткорочне финансијске обавезе према укупним обавезама (%),Проценат,77.44
2021,Краткорочне финансијске обавезе према укупним обавезама (%),Проценат,79.97
2018,Кредити у страној валути и кредити са валутном клаузулом према укупним кредитима (%),Проценат,69.01
2019,Кредити у страној валути и кредити са валутном клаузулом према укупним кредитима (%),Проценат,63.94
2020,Кредити у страној валути и кредити са валутном клаузулом према укупним кредитима (%),Проценат,62.38
2021,Кредити у страној валути и кредити са валутном клаузулом према укупним кредитима (%),Проценат,58.74
2018,Обавезе у страној валути према укупним обавезама (%),Проценат,61.61
2019,Обавезе у страној валути према укупним обавезама (%),Проценат,58.95
2020,Обавезе у страној валути према укупним обавезама (%),Проценат,59.1
2021,Обавезе у страној валути према укупним обавезама (%),Проценат,54.46
2018,Нето отворена позиција (%),Проценат,3.06
2019,Нето отворена позиција (%),Проценат,9.36
2020,Нето отворена позиција (%),Проценат,6.38
2021,Нето отворена позиција (%),Проценат,2.38
