Year,SERIES,UNIT_MEASURE,Value
2009,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,27900
2010,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,16730
2011,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,24890
2012,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,38155
2013,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,16630
2014,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,8630
2015,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,8930
2016,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,1730
2017,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,830
2018,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,107015
2019,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,83584
2020,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,114740
2021,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,у KM,220980
