Year,SERIES,UNIT_MEASURE,Пол,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Value
2009,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,2.5
2010,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.7
2011,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.8
2012,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,2.8
2013,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.7
2014,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,2.4
2015,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,2.6
2016,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,2.0
2017,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.3
2018,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.6
2019,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.2
2020,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.1
2021,Број жртава убистава с намјером на 100.000 становника,На 100 000 становника,Оба пола или без подјеле по полу,,,,,,1.1
2009,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,29.0
2010,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,20.0
2011,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,21.0
2012,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,33.0
2013,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,20.0
2014,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,28.0
2015,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,30.0
2016,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,23.0
2017,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,15.0
2018,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,19.0
2019,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,14.0
2020,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,13.0
2021,Број жртава убистава с намјером,Број,Оба пола или без подјеле по полу,,,,,,13.0
2009,Број жртава убистава с намјером,Број,Мушкарци,,,,,,19.0
2010,Број жртава убистава с намјером,Број,Мушкарци,,,,,,12.0
2011,Број жртава убистава с намјером,Број,Мушкарци,,,,,,15.0
2012,Број жртава убистава с намјером,Број,Мушкарци,,,,,,18.0
2013,Број жртава убистава с намјером,Број,Мушкарци,,,,,,12.0
2014,Број жртава убистава с намјером,Број,Мушкарци,,,,,,19.0
2015,Број жртава убистава с намјером,Број,Мушкарци,,,,,,20.0
2016,Број жртава убистава с намјером,Број,Мушкарци,,,,,,14.0
2017,Број жртава убистава с намјером,Број,Мушкарци,,,,,,8.0
2018,Број жртава убистава с намјером,Број,Мушкарци,,,,,,17.0
2019,Број жртава убистава с намјером,Број,Мушкарци,,,,,,10.0
2020,Број жртава убистава с намјером,Број,Мушкарци,,,,,,9.0
2021,Број жртава убистава с намјером,Број,Мушкарци,,,,,,9.0
2009,Број жртава убистава с намјером,Број,Жене,,,,,,10.0
2010,Број жртава убистава с намјером,Број,Жене,,,,,,8.0
2011,Број жртава убистава с намјером,Број,Жене,,,,,,6.0
2012,Број жртава убистава с намјером,Број,Жене,,,,,,15.0
2013,Број жртава убистава с намјером,Број,Жене,,,,,,8.0
2014,Број жртава убистава с намјером,Број,Жене,,,,,,9.0
2015,Број жртава убистава с намјером,Број,Жене,,,,,,10.0
2016,Број жртава убистава с намјером,Број,Жене,,,,,,9.0
2017,Број жртава убистава с намјером,Број,Жене,,,,,,7.0
2018,Број жртава убистава с намјером,Број,Жене,,,,,,2.0
2019,Број жртава убистава с намјером,Број,Жене,,,,,,4.0
2020,Број жртава убистава с намјером,Број,Жене,,,,,,4.0
2021,Број жртава убистава с намјером,Број,Жене,,,,,,4.0
