Year,SERIES,UNIT_MEASURE,Пол,Године,COMPOSITE_BREAKDOWN,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2009.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,0.0
2010.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,0.0
2011.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2012.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2013.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,0.0
2014.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,0.0
2015.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2016.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2017.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2018.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,0.0
2019.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2020.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,1.0
2021.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,_T,,,,,0.0
2009.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2010.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2011.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,1.0
2012.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,1.0
2013.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2014.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2015.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,1.0
2016.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,1.0
2017.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2018.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2019.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2020.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2021.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_01,,,,,0.0
2009.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2010.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2011.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2012.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2013.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2014.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2015.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2016.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2017.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2018.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2019.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2020.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2021.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_02,,,,,0.0
2009.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2010.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2011.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2012.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2013.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2014.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2015.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2016.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2017.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,1.0
2018.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2019.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,1.0
2020.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,1.0
2021.0,VC_HTF_DETCA,Број,Оба пола или без подјеле по полу,,VC_HTF_03,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,1.0
2012.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,2.0
2013.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,1.0
2016.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,1.0
2017.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,1.0
2018.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,1.0
2020.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,1.0
2021.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2012.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2013.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2016.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,1.0
2017.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2018.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2020.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2021.0,Детектоване жртве трговине људима (број),Број,Мушкарци,_A,,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,1.0
2012.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,2.0
2013.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,1.0
2016.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2017.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2018.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2020.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2021.0,Детектоване жртве трговине људима (број),Број,Жене,_A,,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2012.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2013.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2016.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2017.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,1.0
2018.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,1.0
2020.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,1.0
2021.0,Детектоване жртве трговине људима (број),Број,Жене,_M,,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,1.0
2012.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,2.0
2013.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,1.0
2016.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2017.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,1.0
2018.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,1.0
2020.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2021.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_01,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2012.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2013.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2016.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2017.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2018.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2020.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,1.0
2021.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,VC_HTFET_02,,,,,0.0
2009.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2010.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2011.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2012.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2013.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2014.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2015.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
