Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Value
2009,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,453000
2010,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,728000
2011,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,404000
2012,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,2900000
2013,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,1107058
2014,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,2738514
2015,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,2563708
2016,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,78163647
2017,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,5724857
2018,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,175957160
2019,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,9420753
2020,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,8389057
2021,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,у KM,,,,,,,11783151
2009,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,332090
2010,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,494309
2011,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,267271
2012,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,1954705
2013,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,780159
2014,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,1702619
2015,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,1432183
2016,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,42126518
2017,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,3510438
2018,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,103046443
2019,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,5389465
2020,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,5267636
2021,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,Амерички долар,,,,,,,6828315
