Year,SERIES,UNIT_MEASURE,Value
2010,Индекс потрошачких цијена хране,Индеx,-1.158
2011,Индекс потрошачких цијена хране,Индеx,0.404
2012,Индекс потрошачких цијена хране,Индеx,-0.197
2013,Индекс потрошачких цијена хране,Индеx,-0.415
2014,Индекс потрошачких цијена хране,Индеx,-0.612
2015,Индекс потрошачких цијена хране,Индеx,-0.025
2016,Индекс потрошачких цијена хране,Индеx,-0.056
2017,Индекс потрошачких цијена хране,Индеx,0.281
2018,Индекс потрошачких цијена хране,Индеx,-0.582
2019,Индекс потрошачких цијена хране,Индеx,0.281
2020,Индекс потрошачких цијена хране,Индеx,1.085
