Year,SERIES,UNIT_MEASURE,Старост,Пол,Value
2009,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,3.8
2010,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,2.9
2011,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,3.6
2012,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,2.9
2013,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,2.7
2014,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,2.2
2015,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,1.9
2016,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,1.9
2017,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,2.1
2018,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,1.1
2019,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,1.4
2020,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,3.6
2021,Стопа неонаталног морталитета,На 1 000 живорођених,Млађи од једног мјесеца,Оба пола или без подјеле по полу,1.2
