Year,SERIES,UNIT_MEASURE,Године,Пол,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Value
2009,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.3
2010,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.3
2011,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.4
2012,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.6
2013,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.6
2014,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.1
2015,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.5
2016,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.5
2017,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.5
2018,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.4
2019,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.4
2020,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,0.3
2021,SH_HIV_INCDA,На 100.000 становника,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,1.4
2009,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,4.0
2010,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,4.0
2011,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2012,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,8.0
2013,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,8.0
2014,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2015,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,7.0
2016,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,7.0
2017,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,7.0
2018,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2019,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2020,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,3.0
2021,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,,,,,,,,,,16.0
2009,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,4.0
2010,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,4.0
2011,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,5.0
2012,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,8.0
2013,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,6.0
2014,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,2.0
2015,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,6.0
2016,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,6.0
2017,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,6.0
2018,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,3.0
2019,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,4.0
2020,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,3.0
2021,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Мушкарци,,,,,,,,,,,14.0
2009,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,0.0
2011,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,2.0
2014,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,1.0
2016,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,1.0
2017,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,1.0
2018,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,2.0
