Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Value
2009.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,25.9
2010.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,20.1
2011.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,29.2
2012.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,29.4
2013.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,26.6
2014.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,19.8
2015.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,13.1
2016.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,13.1
2017.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,15.2
2018.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,16.7
2019.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,14.1
2020.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,6.8
2021.0,Учесталост туберкулозе (на 100.000 становника),На 100.000 становника,,,,,,2.6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
