Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2009.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,4.7
2010.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,2.7
2011.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,3.9
2012.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,4.5
2013.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,5.6
2014.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,3.9
2015.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,2.3
2016.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,3.6
2017.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,4.0
2018.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,5.2
2019.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,4.5
2020.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,1.9
2021.0,SH_HAP_HBSAGINC,На 100.000 становника,,,,,1.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
