Year,SERIES,UNIT_MEASURE,Пол,Value
2009,SH_DTH_NCOM,Број умрлих на 100 000 становника млађих од 65 година,Оба пола или без подјеле по полу,150.7
2010,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T66,Оба пола или без подјеле по полу,144.6
2011,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T67,Оба пола или без подјеле по полу,180.2
2012,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T68,Оба пола или без подјеле по полу,184.2
2013,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T69,Оба пола или без подјеле по полу,189.1
2014,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T70,Оба пола или без подјеле по полу,194.5
2015,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T71,Оба пола или без подјеле по полу,184.6
2016,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T72,Оба пола или без подјеле по полу,179.4
2017,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T73,Оба пола или без подјеле по полу,177.2
2018,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T74,Оба пола или без подјеле по полу,163.5
2019,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T75,Оба пола или без подјеле по полу,159.3
2020,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T76,Оба пола или без подјеле по полу,157.6
2021,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T77,Оба пола или без подјеле по полу,147.9
2009,SH_DTH_NCOM,Број умрлих на 100 000 становника млађих од 65 година,Мушкарци,201.1
2010,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T66,Мушкарци,191.4
2011,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T67,Мушкарци,236.2
2012,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T68,Мушкарци,247.2
2013,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T69,Мушкарци,246.9
2014,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T70,Мушкарци,255.0
2015,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T71,Мушкарци,229.5
2016,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T72,Мушкарци,233.1
2017,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T73,Мушкарци,225.8
2018,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T74,Мушкарци,216.8
2019,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T75,Мушкарци,203.6
2020,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T76,Мушкарци,207.9
2021,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T77,Мушкарци,194.4
2009,SH_DTH_NCOM,Број умрлих на 100 000 становника млађих од 65 година,Жене,102.5
2010,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T66,Жене,99.8
2011,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T67,Жене,123.4
2012,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T68,Жене,120.4
2013,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T69,Жене,130.5
2014,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T70,Жене,133.2
2015,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T71,Жене,139.1
2016,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T72,Жене,124.9
2017,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T73,Жене,127.7
2018,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T74,Жене,109.3
2019,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T75,Жене,114.2
2020,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T76,Жене,105.8
2021,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T77,Жене,99.6
