Year,SERIES,UNIT_MEASURE,Пол,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2009,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,258.0
2010,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,230.0
2011,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,282.0
2012,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,227.0
2013,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,190.0
2014,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,207.0
2015,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,218.0
2016,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,205.0
2017,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,180.0
2018,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,164.0
2019,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,173.0
2020,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,185.0
2021,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,,,,194.0
2009,Број смртних случајева самоубиством,Број,Мушкарци,,,,178.0
2010,Број смртних случајева самоубиством,Број,Мушкарци,,,,184.0
2011,Број смртних случајева самоубиством,Број,Мушкарци,,,,212.0
2012,Број смртних случајева самоубиством,Број,Мушкарци,,,,174.0
2013,Број смртних случајева самоубиством,Број,Мушкарци,,,,142.0
2014,Број смртних случајева самоубиством,Број,Мушкарци,,,,156.0
2015,Број смртних случајева самоубиством,Број,Мушкарци,,,,167.0
2016,Број смртних случајева самоубиством,Број,Мушкарци,,,,157.0
2017,Број смртних случајева самоубиством,Број,Мушкарци,,,,140.0
2018,Број смртних случајева самоубиством,Број,Мушкарци,,,,120.0
2019,Број смртних случајева самоубиством,Број,Мушкарци,,,,137.0
2020,Број смртних случајева самоубиством,Број,Мушкарци,,,,144.0
2021,Број смртних случајева самоубиством,Број,Мушкарци,,,,140.0
2009,Број смртних случајева самоубиством,Број,Жене,,,,80.0
2010,Број смртних случајева самоубиством,Број,Жене,,,,46.0
2011,Број смртних случајева самоубиством,Број,Жене,,,,70.0
2012,Број смртних случајева самоубиством,Број,Жене,,,,53.0
2013,Број смртних случајева самоубиством,Број,Жене,,,,48.0
2014,Број смртних случајева самоубиством,Број,Жене,,,,51.0
2015,Број смртних случајева самоубиством,Број,Жене,,,,51.0
2016,Број смртних случајева самоубиством,Број,Жене,,,,48.0
2017,Број смртних случајева самоубиством,Број,Жене,,,,40.0
2018,Број смртних случајева самоубиством,Број,Жене,,,,44.0
2019,Број смртних случајева самоубиством,Број,Жене,,,,36.0
2020,Број смртних случајева самоубиством,Број,Жене,,,,41.0
2021,Број смртних случајева самоубиством,Број,Жене,,,,54.0
2009,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,21.9
2010,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,19.6
2011,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,24.0
2012,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,19.3
2013,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,16.2
2014,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,17.7
2015,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,18.8
2016,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,17.7
2017,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,15.6
2018,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,14.3
2019,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,15.1
2020,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,16.3
2021,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,,,,17.2
2009,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,30.9
2010,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,32.0
2011,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,36.9
2012,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,30.3
2013,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,24.8
2014,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,27.4
2015,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,29.4
2016,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,27.8
2017,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,24.9
2018,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,21.4
2019,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,24.5
2020,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,25.8
2021,Стопа самоубиствима,На 100.000 становника,Мушкарци,,,,25.2
2009,Стопа самоубиствима,На 100.000 становника,Жене,,,,13.3
2010,Стопа самоубиствима,На 100.000 становника,Жене,,,,7.7
2011,Стопа самоубиствима,На 100.000 становника,Жене,,,,11.7
2012,Стопа самоубиствима,На 100.000 становника,Жене,,,,8.8
2013,Стопа самоубиствима,На 100.000 становника,Жене,,,,8.0
2014,Стопа самоубиствима,На 100.000 становника,Жене,,,,8.5
2015,Стопа самоубиствима,На 100.000 становника,Жене,,,,8.6
2016,Стопа самоубиствима,На 100.000 становника,Жене,,,,8.1
2017,Стопа самоубиствима,На 100.000 становника,Жене,,,,6.8
2018,Стопа самоубиствима,На 100.000 становника,Жене,,,,7.5
2019,Стопа самоубиствима,На 100.000 становника,Жене,,,,6.2
2020,Стопа самоубиствима,На 100.000 становника,Жене,,,,7.1
2021,Стопа самоубиствима,На 100.000 становника,Жене,,,,9.4
