Year,SERIES,UNIT_MEASURE,Value
2012,Број лица лијечених због злоупотребе опојних дрога,Број,323
2013,Број лица лијечених због злоупотребе опојних дрога,Број,375
2014,Број лица лијечених због злоупотребе опојних дрога,Број,385
2015,Број лица лијечених због злоупотребе опојних дрога,Број,455
2016,Број лица лијечених због злоупотребе опојних дрога,Број,486
2017,Број лица лијечених због злоупотребе опојних дрога,Број,534
2018,Број лица лијечених због злоупотребе опојних дрога,Број,540
2019,Број лица лијечених због злоупотребе опојних дрога,Број,573
2020,Број лица лијечених због злоупотребе опојних дрога,Број,597
2021,Број лица лијечених због злоупотребе опојних дрога,Број,608
