Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2009,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.1
2010,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2011,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2012,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2013,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2014,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2015,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2016,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2017,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2018,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2019,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2020,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.1
2021,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,Y10T14,Жене,0.0
2009,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,16.0
2010,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,13.9
2011,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,12.8
2012,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,13.8
2013,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,11.0
2014,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,10.6
2015,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,9.5
2016,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,10.8
2017,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,9.4
2018,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,7.7
2019,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,8.1
2020,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,8.0
2021,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),PER_1000_POPFEM_AG,15 до 19 година,Жене,7.9
