Year,SERIES,UNIT_MEASURE,AGE,Пол,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Value
2015,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,33.2
2016,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,33.6
2017,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,39.2
2018,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,43.3
2019,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,41.3
2020,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,49.3
2021,SE_PRE_PARTN,Проценат,Y5,Оба пола или без подјеле по полу,,,,,,,,,,11.4
2015,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,32.9
2016,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,34.4
2017,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,39.6
2018,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,43.4
2019,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,40.4
2020,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,39.6
2021,SE_PRE_PARTN,Проценат,Y5,Мушкарци,,,,,,,,,,11.8
2015,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,33.5
2016,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,32.8
2017,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,38.8
2018,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,43.2
2019,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,42.3
2020,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,41.0
2021,SE_PRE_PARTN,Проценат,Y5,Жене,,,,,,,,,,11.0
2015,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,14.9
2016,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,16.7
2017,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,17.6
2018,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,21.4
2019,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,23.2
2020,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,20.0
2021,SE_PRE_PARTN,Проценат,Y0T6,Оба пола или без подјеле по полу,,,,,,,,,,25.2
2015,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,15.0
2016,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,17.0
2017,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,17.6
2018,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,21.5
2019,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,23.1
2020,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,19.9
2021,SE_PRE_PARTN,Проценат,Y0T6,Мушкарци,,,,,,,,,,25.0
2015,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,14.7
2016,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,16.5
2017,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,17.5
2018,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,21.2
2019,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,23.4
2020,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,20.1
2021,SE_PRE_PARTN,Проценат,Y0T6,Жене,,,,,,,,,,25.3
2015,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,28.1
2016,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,29.4
2017,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,31.9
2018,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,44.7
2019,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,44.3
2020,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,37.6
2021,SE_PRE_PARTN,Проценат,Y4T6,Оба пола или без подјеле по полу,,,,,,,,,,39.3
