Year,SERIES,UNIT_MEASURE,Пол,Степен урбанизације,AGE,Ниво образовања,COMPOSITE_BREAKDOWN,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2014,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,38.7
2015,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,42.9
2016,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,41.1
2017,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,58.9
2018,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,55.5
2019,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,58.8
2020,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,60.8
2021,SE_ADT_ACTSPC,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,57.6
2014,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,38.0
2015,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,43.4
2016,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,42.8
2017,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,64.9
2018,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,71.2
2019,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,72.1
2020,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,72.8
2021,SE_ADT_ACTSI,Проценат,Оба пола или без подјеле по полу,,,,,,,,,,,,,,80.3
2014,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,39.9
2015,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,48.6
2016,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,46.2
2017,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,69.9
2018,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,73.0
2019,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,73.7
2020,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,75.0
2021,SE_ADT_ACTSI,Проценат,Мушкарци,,,,,,,,,,,,,,82.6
2014,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,36.3
2015,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,40.3
2016,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,40.2
2017,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,61.8
2018,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,69.3
2019,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,70.4
2020,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,70.5
2021,SE_ADT_ACTSI,Проценат,Жене,,,,,,,,,,,,,,78.2
2014,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,55.4
2015,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,54.9
2016,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,53.8
2017,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,73.2
2018,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,78.0
2019,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,80.8
2020,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,75.1
2021,SE_ADT_ACTSI,Проценат,,Урбано,,,,,,,,,,,,,85.2
2014,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,26.6
2015,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,36.1
2016,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,35.9
2017,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,59.5
2018,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,66.8
2019,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,66.5
2020,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,71.3
2021,SE_ADT_ACTSI,Проценат,,Остало,,,,,,,,,,,,,77.1
2014,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,91.3
2015,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,90.5
2016,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,90.9
