Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Value
2018,SG_LGL_GENEQLFP,Проценат,,,,,,,,,91.7
2019,SG_LGL_GENEQLFP,Проценат,,,,,,,,,91.7
2020,SG_LGL_GENEQLFP,Проценат,,,,,,,,,91.7
2021,SG_LGL_GENEQLFP,Проценат,,,,,,,,,91.7
2018,SG_LGL_GENEQVAW,Проценат,,,,,,,,,84.6
2019,SG_LGL_GENEQVAW,Проценат,,,,,,,,,84.6
2020,SG_LGL_GENEQVAW,Проценат,,,,,,,,,84.6
2021,SG_LGL_GENEQVAW,Проценат,,,,,,,,,84.6
2018,SG_LGL_GENEQEMP,Проценат,,,,,,,,,96.0
2019,SG_LGL_GENEQEMP,Проценат,,,,,,,,,96.0
2020,SG_LGL_GENEQEMP,Проценат,,,,,,,,,96.0
2021,SG_LGL_GENEQEMP,Проценат,,,,,,,,,96.0
2018,SG_LGL_GENEQMAR,Проценат,,,,,,,,,84.6
2019,SG_LGL_GENEQMAR,Проценат,,,,,,,,,84.6
2020,SG_LGL_GENEQMAR,Проценат,,,,,,,,,84.6
2021,SG_LGL_GENEQMAR,Проценат,,,,,,,,,84.6
