Year,SERIES,UNIT_MEASURE,Пол,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2000,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,15.0
2002,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,14.0
2006,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,17.0
2010,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,18.0
2014,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,13.0
2018,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,15.0
2022,Број мјеста које имају жене у националним парламентима,Број,Жене,,,,,,,16.0
2000,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,83.0
2002,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,83.0
2006,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,82.0
2010,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,83.0
2014,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,83.0
2018,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,83.0
2022,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,,,,,,,83.0
2000,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,18.1
2002,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,16.9
2006,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,20.7
2010,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,21.7
2014,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,15.7
2018,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,18.1
2022,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,,,,,,,19.3
2000,SG_GEN_LPARL,Проценат,Жене,,,,,,,15.8
2004,SG_GEN_LPARL,Проценат,Жене,,,,,,,16.3
2008,SG_GEN_LPARL,Проценат,Жене,,,,,,,15.8
2012,SG_GEN_LPARL,Проценат,Жене,,,,,,,14.5
2015,SG_GEN_LPARL,Проценат,Жене,,,,,,,14.7
2016,SG_GEN_LPARL,Проценат,Жене,,,,,,,16.4
2020,SG_GEN_LPARL,Проценат,Жене,,,,,,,17.0
