Year,SERIES,UNIT_MEASURE,Дјелатност,Степен урбанизације,Value
2020,Удио сигурно пречишћених протока отпадних вода из домаћинства,Проценат,,,46.7966
2015,Удио прочишћених отпадних вода према дјелатности и локацији (%),Проценат,Индустрије,Укупно,100.0
2015,Удио прочишћених отпадних вода према дјелатности и локацији (%),Проценат,Без подјеле,Укупно,54.3595
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,Индустрије,Укупно,8.6
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,"Пољопривреда, шумарство и риболов",Укупно,0.5
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,Прерађивачка индустрија,Укупно,8.6
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,Приватна домаћинства,Укупно,70.0
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,Услуге и активности домаћинстава,Укупно,84.0
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,Услуге,Укупно,13.8
2015,купна генерисана отпадна вода (милион m3/годишње),Милион кубних метара годишње,Без подјеле,Укупно,92.9
2015,Укупна пречишћена отпадна вода (милион m3/годишње),Милион кубних метара годишње,Индустрије,Укупно,45.8
2015,Укупна пречишћена отпадна вода (милион m3/годишње),Милион кубних метара годишње,Без подјеле,Укупно,50.5
