Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2009,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.86
2010,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.88
2011,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,2.1
2012,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,2.37
2013,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,2.11
2014,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.63
2015,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,2.94
2016,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.87
2017,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.16
2018,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,
2019,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.62
2020,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,4.0
2021,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Уна,1.31
2009,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,1.8
2010,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.19
2011,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.25
2012,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,1.87
2013,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.53
2014,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.08
2015,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.64
2016,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,1.74
2017,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,1.64
2018,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,
2019,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,1.96
2020,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.17
2021,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Врбас,2.44
2009,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,3.26
2010,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,2.76
2011,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,3.73
2012,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,2.2
2013,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,2.24
2014,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,2.34
2015,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,5.11
2016,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,2.55
2017,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,3.8
2018,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,
2019,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,3.01
2020,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,3.23
2021,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Босна,3.54
2009,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.99
2010,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.63
2011,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.7
2012,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.3
2013,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.94
2014,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.6
2015,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,2.89
2016,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.4
2017,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.48
2018,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,
2019,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.41
2020,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,2.42
2021,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Дрина,1.95
2009,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,2.16
2010,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,1.99
2011,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,1.99
2012,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,1.63
2013,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,2.37
2014,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,1.94
2015,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,2.75
2016,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,1.47
2017,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,1.37
2018,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,
2019,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,2.76
2020,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,2.4
2021,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Сава,2.05
2009,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,3.49
2010,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,1.2
2011,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,0.91
2012,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,2.97
2013,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,2.75
2014,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,12.67
2015,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,4.96
2016,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,2.36
2017,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,0.005
2018,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,
2019,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,2.88
2020,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,2.25
2021,EN_H2O_WQBODS,Грами по кубном метру (g/m3),Укрина,2.49
2009,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.93
2010,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.52
2011,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.73
2012,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,
2013,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.56
2014,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.94
2015,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,2.99
2016,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.32
2017,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.76
2018,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,
2019,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,1.51
2020,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,5.15
2021,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Требишњица,2.1
2009,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,
2010,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,
2011,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,1.13
2012,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,2.49
2013,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,1.59
2014,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,1.61
2015,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,2.97
2016,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,0.79
2017,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,1.08
2018,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,
2019,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,1.91
2020,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,2.25
2021,EN_H2O_WQBODT,Грами по кубном метру (g/m3),Неретва,2.78
