Year,SERIES,UNIT_MEASURE,Старост,Value
2006,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,15.76037
2007,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,20.89609
2008,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,28.71313
2009,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,43.23664
2010,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,35.16588
2011,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,38.95988
2012,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,42.19187
2013,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,45.62668
2014,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,48.31005
2015,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,51.91501
2016,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,52.48192
2017,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,53.89314
2018,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,55.8397
2019,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,58.23953
2020,б. Број аутоматизованих банкомата (АТМ),Број,15 година и више,58.0168
2005,а. Број филијала комерцијалних банака,Број,15 година и више,27.49453
2006,а. Број филијала комерцијалних банака,Број,15 година и више,28.28537
2007,а. Број филијала комерцијалних банака,Број,15 година и више,31.80673
2008,а. Број филијала комерцијалних банака,Број,15 година и више,33.90763
2009,а. Број филијала комерцијалних банака,Број,15 година и више,32.29187
2010,а. Број филијала комерцијалних банака,Број,15 година и више,31.51477
2011,а. Број филијала комерцијалних банака,Број,15 година и више,32.44496
2012,а. Број филијала комерцијалних банака,Број,15 година и више,32.23538
2013,а. Број филијала комерцијалних банака,Број,15 година и више,33.18607
2014,а. Број филијала комерцијалних банака,Број,15 година и више,34.3523
2015,а. Број филијала комерцијалних банака,Број,15 година и више,31.6513
2016,а. Број филијала комерцијалних банака,Број,15 година и више,30.30206
2017,а. Број филијала комерцијалних банака,Број,15 година и више,30.46591
2018,а. Број филијала комерцијалних банака,Број,15 година и више,30.53182
2019,а. Број филијала комерцијалних банака,Број,15 година и више,30.00756
2020,а. Број филијала комерцијалних банака,Број,15 година и више,29.9177
