Year,SERIES,UNIT_MEASURE,Пол,Године,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Value
2009,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,21.4
2010,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,23.6
2011,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,24.5
2012,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,25.6
2013,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,27.0
2014,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,25.7
2015,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,25.2
2016,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,24.8
2017,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,21.0
2018,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,17.2
2019,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,11.7
2020,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,12.9
2021,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 година и више,,,,,,,,,,,,,,14.3
2009,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,20.6
2010,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,22.0
2011,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,23.0
2012,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,23.8
2013,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,25.3
2014,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,23.8
2015,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,23.4
2016,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,21.6
2017,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,18.0
2018,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,16.3
2019,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,9.5
2020,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,12.7
2021,Стопа незапослености,Проценат,Мушкарци,15 година и више,,,,,,,,,,,,,,12.9
2009,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,22.4
2010,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,25.9
2011,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,26.5
2012,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,28.2
2013,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,29.5
2014,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,28.4
2015,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,27.7
2016,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,29.5
2017,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,25.1
2018,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,18.5
2019,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,14.7
2020,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,13.0
2021,Стопа незапослености,Проценат,Жене,15 година и више,,,,,,,,,,,,,,16.3
2009,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,38.4
2010,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,46.8
2011,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,53.2
2012,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,54.3
2013,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,59.2
2014,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,56.5
2015,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,56.5
2016,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,52.3
2017,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,46.2
2018,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,35.2
2019,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,23.8
2020,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,28.1
2021,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,15 до 24 године,,,,,,,,,,,,,,31.8
2009,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,35.7
2010,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,46.5
2011,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,51.3
2012,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,54.5
2013,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,59.4
2014,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,55.2
2015,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,52.2
2016,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,47.5
2017,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,42.1
2018,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,29.8
2019,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,20.6
2020,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,26.2
2021,Стопа незапослености,Проценат,Мушкарци,15 до 24 године,,,,,,,,,,,,,,29.8
2009,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,43.2
2010,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,47.3
2011,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,56.8
2012,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,54.0
2013,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,58.7
2014,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,58.7
2015,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,65.1
2016,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,62.0
2017,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,55.6
2018,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,48.0
2019,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,29.1
2020,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,30.7
2021,Стопа незапослености,Проценат,Жене,15 до 24 године,,,,,,,,,,,,,,34.7
2009,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,20.4
2010,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,23.1
2011,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,23.2
2012,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,26.7
2013,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,27.7
2014,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,27.3
2015,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,25.6
2016,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,25.9
2017,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,22.5
2018,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,18.7
2019,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,13.6
2020,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,13.7
2021,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y25T49,,,,,,,,,,,,,,14.1
2009,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,18.2
2010,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,20.2
2011,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,20.7
2012,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,22.7
2013,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,24.7
2014,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,23.7
2015,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,22.2
2016,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,21.4
2017,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,17.5
2018,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,17.3
2019,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,11.5
2020,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,13.6
2021,Стопа незапослености,Проценат,Мушкарци,Y25T49,,,,,,,,,,,,,,12.9
2009,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,23.4
2010,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,27.1
2011,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,26.6
2012,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,32.1
2013,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,32.0
2014,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,32.5
2015,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,30.5
2016,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,32.1
2017,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,29.1
2018,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,20.8
2019,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,16.7
2020,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,13.8
2021,Стопа незапослености,Проценат,Жене,Y25T49,,,,,,,,,,,,,,15.7
2009,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,18.9
2010,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,18.9
2011,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,20.2
2012,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,17.1
2013,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,19.0
2014,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,16.4
2015,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,17.8
2016,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,16.8
2017,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,14.3
2018,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,12.2
2019,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,8.5
2020,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,8.7
2021,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y50T64,,,,,,,,,,,,,,10.5
2009,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,21.5
2010,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,19.6
2011,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,19.6
2012,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,17.7
2013,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,18.0
2014,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,17.0
