Year,SERIES,UNIT_MEASURE,Value
2009,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.4
2010,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.5
2011,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.4
2012,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.4
2013,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.5
2014,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.3
2015,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.4
2016,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.5
2017,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.6
2018,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.7
2019,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.7
2020,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.0
2021,"Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",Проценат,1.3
