Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2009,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,29026
2010,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,30901
2011,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,32488
2012,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,32933
2013,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,31686
2014,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,31554
2015,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,29745
2016,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,28637
2017,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,29451
2018,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,27806
2019,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,25726
2020,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,13543
2021,IS_RDP_PFVOL,Хиљаде,Без подјеле,,,,,,,,,,,,,,,,,,,15005
2009,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,448
2010,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,402
2011,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,317
2012,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,321
2013,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,211
2014,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,173
2015,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,178
2016,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,160
2017,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,117
2018,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,137
2019,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,160
2020,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,58
2021,IS_RDP_PFVOL,Хиљаде,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,60
2009,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,28578
2010,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,30499
2011,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,32171
2012,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,32612
2013,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,31745
2014,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,31381
2015,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,29567
2016,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,28477
2017,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,29334
2018,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,27670
2019,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,25566
2020,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,13485
2021,IS_RDP_PFVOL,Хиљаде,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,14945
2009,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,477
2010,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,474
2011,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,480
2012,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,586
2013,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,472
2014,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,444
2015,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,418
2016,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,396
2017,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,425
2018,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,379
2019,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,353
2020,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,180
2021,IS_RDP_PFVOL,"Путнички километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,239
2009,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,27
2010,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,25
2011,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,22
2012,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,23
2013,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,15
2014,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,12
2015,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,13
2016,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,11
2017,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,7
2018,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,9
2019,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,15
2020,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4
2021,IS_RDP_PFVOL,"Путнички километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,3
2009,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,450
2010,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,449
2011,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,458
2012,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,563
2013,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,457
2014,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,432
2015,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,405
2016,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,385
2017,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,418
2018,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,370
2019,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,342
2020,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,176
2021,IS_RDP_PFVOL,"Путнички километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,236
2009,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,5498
2010,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,6534
2011,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,6932
2012,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,7435
2013,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,7635
2014,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,7674
2015,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,8711
2016,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,7938
2017,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,8549
2018,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,8753
2019,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,7507
2020,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,6780
2021,IS_RDP_FRGVOL,Хиљаде тона,Без подјеле,,,,,,,,,,,,,,,,,,,7805
2009,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4101
2010,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,5087
2011,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,5191
2012,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,5372
2013,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,5191
2014,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,5009
2015,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4964
2016,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4416
2017,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4529
2018,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4569
2019,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4567
2020,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,3798
2021,IS_RDP_FRGVOL,Хиљаде тона,Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,4385
2009,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1397
2010,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1447
2011,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1741
2012,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,2063
2013,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,2444
2014,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,2665
2015,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,3747
2016,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,3522
2017,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,4020
2018,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,4184
2019,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,2940
2020,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,2982
2021,IS_RDP_FRGVOL,Хиљаде тона,Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,3420
2009,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,947
2010,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1076
2011,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1431
2012,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1399
2013,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1556
2014,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1651
2015,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1768
2016,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1723
2017,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1931
2018,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1877
2019,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1881
2020,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1709
2021,IS_RDP_FRGVOL,"Тонски километри, милиони",Без подјеле,,,,,,,,,,,,,,,,,,,1846
2009,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,327
2010,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,387
2011,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,425
2012,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,457
2013,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,455
2014,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,428
2015,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,450
2016,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,374
2017,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,386
2018,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,372
2019,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,403
2020,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,363
2021,IS_RDP_FRGVOL,"Тонски километри, милиони",Жељезнички саобраћај,,,,,,,,,,,,,,,,,,,380
2009,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,620
2010,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,689
2011,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1006
2012,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,942
2013,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1101
2014,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1223
2015,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1318
2016,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1341
2017,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1545
2018,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1505
2019,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1477
2020,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1346
2021,IS_RDP_FRGVOL,"Тонски километри, милиони",Друмски и градски саобраћај,,,,,,,,,,,,,,,,,,,1466
