Year,SERIES,UNIT_MEASURE,Дјелатност,Value
2000,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,8.26
2001,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,8.59
2002,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,8.86
2003,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,8.79
2004,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,8.65
2005,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,9.11
2006,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,9.88
2007,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.32
2008,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.42
2009,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.16
2010,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.79
2011,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.69
2012,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.69
2013,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,10.97
2014,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,11.31
2015,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,11.67
2016,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,11.92
2017,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,12.52
2018,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,12.28
2019,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,11.95
2020,"Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",Проценат,Прерађивачка индустрија,11.95
2000,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,9.3
2001,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,9.41
2002,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,9.31
2003,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,9.3
2004,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,9.12
2005,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,9.94
2006,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.02
2007,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.81
2008,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,11.01
2009,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.48
2010,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.88
2011,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.92
2012,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.55
2013,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.94
2014,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,10.94
2015,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,11.67
2016,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,12.37
2017,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,13.12
2018,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,13.23
2019,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,12.94
2020,Додата вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Прерађивачка индустрија,12.94
2000,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,235.19
2001,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,250.13
2002,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,270.75
2003,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,278.73
2004,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,291.51
2005,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,318.8
2006,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,364.45
2007,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,403.5
2008,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,430.34
2009,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,408.83
2010,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,441.92
2011,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,447.08
2012,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,450.41
2013,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,481.29
2014,Додата вриједност производње по глави становника (стални амерички долари из 2015.),константни амерички долари,Прерађивачка индустрија,510.69
