Year,Value,UNIT_MEASURE,SERIES
2018,16.21,Проценат,FI_FSI_FSKRTC
2019,16.87,Проценат,FI_FSI_FSKRTC
2020,17.52,Проценат,FI_FSI_FSKRTC
2021,18.31,Проценат,FI_FSI_FSKRTC
2018,17.66,Проценат,FI_FSI_FSRCER
2019,18.31,Проценат,FI_FSI_FSRCER
2020,19.33,Проценат,FI_FSI_FSRCER
2021,19.15,Проценат,FI_FSI_FSRCER
2018,12.44,Проценат,FI_FSI_FSKA
2019,12.58,Проценат,FI_FSI_FSKA
2020,12.39,Проценат,FI_FSI_FSKA
2021,11.69,Проценат,FI_FSI_FSKA
2018,7.17,Проценат,FI_FSI_FSNPA
2019,5.04,Проценат,FI_FSI_FSNPA
2020,3.62,Проценат,FI_FSI_FSNPA
2021,2.54,Проценат,FI_FSI_FSNPA
2018,19.1,Проценат,FI_FSI_FSNPALC
2019,10.66,Проценат,FI_FSI_FSNPALC
2020,6.18,Проценат,FI_FSI_FSNPALC
2021,4.56,Проценат,FI_FSI_FSNPALC
2018,18.34,Проценат,FI_FSI_FSKNL
2019,9.42,Проценат,FI_FSI_FSKNL
2020,5.99,Проценат,FI_FSI_FSKNL
2021,4.34,Проценат,FI_FSI_FSKNL
2018,9.54,Проценат,FI_FSI_FSANL
2019,6.95,Проценат,FI_FSI_FSANL
2020,5.23,Проценат,FI_FSI_FSANL
2021,3.98,Проценат,FI_FSI_FSANL
2018,1.13,Проценат,FI_FSI_FSERA
2019,1.35,Проценат,FI_FSI_FSERA
2020,0.69,Проценат,FI_FSI_FSERA
2021,1.38,Проценат,FI_FSI_FSERA
2018,8.79,Проценат,FI_FSI_FSERSC
2019,10.75,Проценат,FI_FSI_FSERSC
2020,5.5,Проценат,FI_FSI_FSERSC
2021,11.25,Проценат,FI_FSI_FSERSC
2018,60.65,Проценат,FI_FSI_FSINTIRI
2019,58.07,Проценат,FI_FSI_FSINTIRI
2020,58.87,Проценат,FI_FSI_FSINTIRI
2021,56.84,Проценат,FI_FSI_FSINTIRI
2018,78.24,Проценат,FI_FSI_FSINOIRE
2019,73.22,Проценат,FI_FSI_FSINOIRE
2020,85.81,Проценат,FI_FSI_FSINOIRE
2021,71.68,Проценат,FI_FSI_FSINOIRE
2018,26.7,Проценат,FI_FSI_FSLSTA
2019,22.97,Проценат,FI_FSI_FSLSTA
2020,22.87,Проценат,FI_FSI_FSLSTA
2021,28.72,Проценат,FI_FSI_FSLSTA
2018,39.96,Проценат,FI_FSI_FSLS
2019,35.03,Проценат,FI_FSI_FSLS
2020,33.75,Проценат,FI_FSI_FSLS
2021,40.73,Проценат,FI_FSI_FSLS
2018,105.98,Проценат,FI_FSI_FSLDC
2019,103.1,Проценат,FI_FSI_FSLDC
2020,106.81,Проценат,FI_FSI_FSLDC
2021,121.63,Проценат,FI_FSI_FSLDC
2018,76.4,Проценат,FI_FSI_FSSTL
2019,75.08,Проценат,FI_FSI_FSSTL
2020,77.44,Проценат,FI_FSI_FSSTL
2021,79.97,Проценат,FI_FSI_FSSTL
2018,69.01,Проценат,FI_FSI_FSSFCLN
2019,63.94,Проценат,FI_FSI_FSSFCLN
2020,62.38,Проценат,FI_FSI_FSSFCLN
2021,58.74,Проценат,FI_FSI_FSSFCLN
2018,61.61,Проценат,FI_FSI_FSFCLI
2019,58.95,Проценат,FI_FSI_FSFCLI
2020,59.1,Проценат,FI_FSI_FSFCLI
2021,54.46,Проценат,FI_FSI_FSFCLI
2018,3.06,Проценат,FI_FSI_FSSNO
2019,9.36,Проценат,FI_FSI_FSSNO
2020,6.38,Проценат,FI_FSI_FSSNO
2021,2.38,Проценат,FI_FSI_FSSNO
