Year,Value,UNIT_MEASURE,SERIES
2009,27900,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2010,16730,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2011,24890,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2012,38155,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2013,16630,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2014,8630,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2015,8930,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2016,1730,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2017,830,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2018,107015,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2019,83584,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2020,114740,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
2021,220980,у KM,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема
