Year,Value,UNIT_MEASURE,SERIES
2009,453000,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2010,728000,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2011,404000,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2012,2900000,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2013,1107058,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2014,2738514,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2015,2563708,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2016,78163647,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2017,5724857,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2018,175957160,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2019,9420753,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2020,8389057,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2021,11783151,у KM,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2009,332090,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2010,494309,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2011,267271,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2012,1954705,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2013,780159,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2014,1702619,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2015,1432183,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2016,42126518,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2017,3510438,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2018,103046443,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2019,5389465,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2020,5267636,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
2021,6828315,Амерички долар,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске
