Year,Value,UNIT_MEASURE,SERIES
2000,9.08736,Амерички долар,DC_TOF_HLTHL
2001,5.4217,Амерички долар,DC_TOF_HLTHL
2002,5.51349,Амерички долар,DC_TOF_HLTHL
2003,9.48565,Амерички долар,DC_TOF_HLTHL
2004,4.58668,Амерички долар,DC_TOF_HLTHL
2005,4.99766,Амерички долар,DC_TOF_HLTHL
2006,17.4274,Амерички долар,DC_TOF_HLTHL
2007,10.9566,Амерички долар,DC_TOF_HLTHL
2008,7.03404,Амерички долар,DC_TOF_HLTHL
2009,2.58064,Амерички долар,DC_TOF_HLTHL
2010,7.81804,Амерички долар,DC_TOF_HLTHL
2011,6.13396,Амерички долар,DC_TOF_HLTHL
2012,6.7453,Амерички долар,DC_TOF_HLTHL
2013,5.6511,Амерички долар,DC_TOF_HLTHL
2014,11.1682,Амерички долар,DC_TOF_HLTHL
2015,5.29493,Амерички долар,DC_TOF_HLTHL
2016,38.0789,Амерички долар,DC_TOF_HLTHL
2017,36.2081,Амерички долар,DC_TOF_HLTHL
2018,13.1018,Амерички долар,DC_TOF_HLTHL
2019,8.61702,Амерички долар,DC_TOF_HLTHL
2020,14.6164,Амерички долар,DC_TOF_HLTHL
2010,7.76131,Амерички долар,DC_TOF_HLTHNT
2011,6.07939,Амерички долар,DC_TOF_HLTHNT
2012,6.6857,Амерички долар,DC_TOF_HLTHNT
2013,5.31045,Амерички долар,DC_TOF_HLTHNT
2014,10.4097,Амерички долар,DC_TOF_HLTHNT
2015,4.37475,Амерички долар,DC_TOF_HLTHNT
2016,36.3256,Амерички долар,DC_TOF_HLTHNT
2017,33.9038,Амерички долар,DC_TOF_HLTHNT
2018,9.99989,Амерички долар,DC_TOF_HLTHNT
2019,5.45266,Амерички долар,DC_TOF_HLTHNT
2020,10.1759,Амерички долар,DC_TOF_HLTHNT
