Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2004,SI_POV_NAHC,NUMBER,_T,199752
2007,SI_POV_NAHC,NUMBER,_T,182389
2011,SI_POV_NAHC,NUMBER,_T,152909
2015,SI_POV_NAHC,NUMBER,_T,126043
2004,SI_POV_NAHC,PT,_T,45153
2007,SI_POV_NAHC,PT,_T,45092
2011,SI_POV_NAHC,PT,_T,45030
2015,SI_POV_NAHC,PT,_T,45150
2004,SI_POV_HHD,NUMBER,_T,63973
2007,SI_POV_HHD,NUMBER,_T,64708
2011,SI_POV_HHD,NUMBER,_T,53234
2015,SI_POV_HHD,NUMBER,_T,49805
2004,SI_POV_HHD,PT,_T,44942
2007,SI_POV_HHD,PT,_T,45002
2011,SI_POV_HHD,PT,_T,45152
2015,SI_POV_HHD,PT,_T,45182
