Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2009,SI_COV_SOCUSALL,PT,_T,_T,3.1
2010,SI_COV_SOCUSALL,PT,_T,_T,3.2
2011,SI_COV_SOCUSALL,PT,_T,_T,3.1
2012,SI_COV_SOCUSALL,PT,_T,_T,3.5
2013,SI_COV_SOCUSALL,PT,_T,_T,3.5
2014,SI_COV_SOCUSALL,PT,_T,_T,4.2
2015,SI_COV_SOCUSALL,PT,_T,_T,3.6
2016,SI_COV_SOCUSALL,PT,_T,_T,3.8
2017,SI_COV_SOCUSALL,PT,_T,_T,3.7
2018,SI_COV_SOCUSALL,PT,_T,_T,4.3
2019,SI_COV_SOCUSALL,PT,_T,_T,4.3
2020,SI_COV_SOCUSALL,PT,_T,_T,4.5
2021,SI_COV_SOCUSALL,PT,_T,_T,4.6
2009,SI_COV_SOCUSALL,NUMBER,_T,_T,36917
2010,SI_COV_SOCUSALL,NUMBER,_T,_T,37178
2011,SI_COV_SOCUSALL,NUMBER,_T,_T,36323
2012,SI_COV_SOCUSALL,NUMBER,_T,_T,41157
2013,SI_COV_SOCUSALL,NUMBER,_T,_T,41212
2014,SI_COV_SOCUSALL,NUMBER,_T,_T,49147
2015,SI_COV_SOCUSALL,NUMBER,_T,_T,41410
2016,SI_COV_SOCUSALL,NUMBER,_T,_T,43582
2017,SI_COV_SOCUSALL,NUMBER,_T,_T,43062
2018,SI_COV_SOCUSALL,NUMBER,_T,_T,48921
2019,SI_COV_SOCUSALL,NUMBER,_T,_T,49252
2020,SI_COV_SOCUSALL,NUMBER,_T,_T,50652
2021,SI_COV_SOCUSALL,NUMBER,_T,_T,52068
2012,SI_COV_SOCUSSA,NUMBER,M,_T,18712
2013,SI_COV_SOCUSSA,NUMBER,M,_T,19143
2014,SI_COV_SOCUSSA,NUMBER,M,_T,23658
2015,SI_COV_SOCUSSA,NUMBER,M,_T,18963
2016,SI_COV_SOCUSSA,NUMBER,M,_T,19926
2017,SI_COV_SOCUSSA,NUMBER,M,_T,19812
2018,SI_COV_SOCUSSA,NUMBER,M,_T,23658
2019,SI_COV_SOCUSSA,NUMBER,M,_T,23293
2020,SI_COV_SOCUSSA,NUMBER,M,_T,23661
2021,SI_COV_SOCUSSA,NUMBER,M,_T,24954
2012,SI_COV_SOCUSSA,NUMBER,M,_M,2811
2013,SI_COV_SOCUSSA,NUMBER,M,_M,2812
2014,SI_COV_SOCUSSA,NUMBER,M,_M,2653
2015,SI_COV_SOCUSSA,NUMBER,M,_M,1586
2016,SI_COV_SOCUSSA,NUMBER,M,_M,1797
2017,SI_COV_SOCUSSA,NUMBER,M,_M,2065
2018,SI_COV_SOCUSSA,NUMBER,M,_M,2430
2019,SI_COV_SOCUSSA,NUMBER,M,_M,2564
2020,SI_COV_SOCUSSA,NUMBER,M,_M,2754
2021,SI_COV_SOCUSSA,NUMBER,M,_M,2986
2012,SI_COV_SOCUSSA,NUMBER,M,_A,15901
2013,SI_COV_SOCUSSA,NUMBER,M,_A,16331
2014,SI_COV_SOCUSSA,NUMBER,M,_A,21005
2015,SI_COV_SOCUSSA,NUMBER,M,_A,17377
2016,SI_COV_SOCUSSA,NUMBER,M,_A,18129
2017,SI_COV_SOCUSSA,NUMBER,M,_A,17747
2018,SI_COV_SOCUSSA,NUMBER,M,_A,21228
2019,SI_COV_SOCUSSA,NUMBER,M,_A,20729
2020,SI_COV_SOCUSSA,NUMBER,M,_A,20907
2021,SI_COV_SOCUSSA,NUMBER,M,_A,21968
2012,SI_COV_SOCUSSA,NUMBER,F,_T,22445
2013,SI_COV_SOCUSSA,NUMBER,F,_T,22069
2014,SI_COV_SOCUSSA,NUMBER,F,_T,25489
2015,SI_COV_SOCUSSA,NUMBER,F,_T,22447
2016,SI_COV_SOCUSSA,NUMBER,F,_T,23656
2017,SI_COV_SOCUSSA,NUMBER,F,_T,23250
2018,SI_COV_SOCUSSA,NUMBER,F,_T,25263
2019,SI_COV_SOCUSSA,NUMBER,F,_T,25959
2020,SI_COV_SOCUSSA,NUMBER,F,_T,26991
2021,SI_COV_SOCUSSA,NUMBER,F,_T,27114
2012,SI_COV_SOCUSSA,NUMBER,F,_M,2289
2013,SI_COV_SOCUSSA,NUMBER,F,_M,2830
2014,SI_COV_SOCUSSA,NUMBER,F,_M,2557
2015,SI_COV_SOCUSSA,NUMBER,F,_M,1339
2016,SI_COV_SOCUSSA,NUMBER,F,_M,1366
2017,SI_COV_SOCUSSA,NUMBER,F,_M,1876
2018,SI_COV_SOCUSSA,NUMBER,F,_M,2608
2019,SI_COV_SOCUSSA,NUMBER,F,_M,1790
2020,SI_COV_SOCUSSA,NUMBER,F,_M,1978
2021,SI_COV_SOCUSSA,NUMBER,F,_M,2050
2012,SI_COV_SOCUSSA,NUMBER,F,_A,20156
2013,SI_COV_SOCUSSA,NUMBER,F,_A,19239
2014,SI_COV_SOCUSSA,NUMBER,F,_A,22932
2015,SI_COV_SOCUSSA,NUMBER,F,_A,21108
2016,SI_COV_SOCUSSA,NUMBER,F,_A,22290
2017,SI_COV_SOCUSSA,NUMBER,F,_A,21374
2018,SI_COV_SOCUSSA,NUMBER,F,_A,22655
2019,SI_COV_SOCUSSA,NUMBER,F,_A,24169
2020,SI_COV_SOCUSSA,NUMBER,F,_A,25013
2021,SI_COV_SOCUSSA,NUMBER,F,_A,25064
2012,SI_COV_SOCNP,NUMBER,_T,_T,5156
2013,SI_COV_SOCNP,NUMBER,_T,_T,5156
2014,SI_COV_SOCNP,NUMBER,_T,_T,5219
2015,SI_COV_SOCNP,NUMBER,_T,_T,5067
2016,SI_COV_SOCNP,NUMBER,_T,_T,5071
2017,SI_COV_SOCNP,NUMBER,_T,_T,4905
2018,SI_COV_SOCNP,NUMBER,_T,_T,4487
2019,SI_COV_SOCNP,NUMBER,_T,_T,4487
2020,SI_COV_SOCNP,NUMBER,_T,_T,4076
2021,SI_COV_SOCNP,NUMBER,_T,_T,4142
2012,SI_COV_SOCNP,NUMBER,M,_T,1852
2013,SI_COV_SOCNP,NUMBER,M,_T,1852
2014,SI_COV_SOCNP,NUMBER,M,_T,1940
2015,SI_COV_SOCNP,NUMBER,M,_T,1948
2016,SI_COV_SOCNP,NUMBER,M,_T,2020
2017,SI_COV_SOCNP,NUMBER,M,_T,1955
2018,SI_COV_SOCNP,NUMBER,M,_T,1800
2019,SI_COV_SOCNP,NUMBER,M,_T,1846
2020,SI_COV_SOCNP,NUMBER,M,_T,1727
2021,SI_COV_SOCNP,NUMBER,M,_T,1821
2012,SI_COV_SOCNP,NUMBER,F,_T,3304
2013,SI_COV_SOCNP,NUMBER,F,_T,3304
2014,SI_COV_SOCNP,NUMBER,F,_T,3279
2015,SI_COV_SOCNP,NUMBER,F,_T,3119
2016,SI_COV_SOCNP,NUMBER,F,_T,3051
2017,SI_COV_SOCNP,NUMBER,F,_T,2950
2018,SI_COV_SOCNP,NUMBER,F,_T,2687
2019,SI_COV_SOCNP,NUMBER,F,_T,2641
2020,SI_COV_SOCNP,NUMBER,F,_T,2349
2021,SI_COV_SOCNP,NUMBER,F,_T,2321
2012,SI_COV_SOCDL,NUMBER,_T,_T,17219
2013,SI_COV_SOCDL,NUMBER,_T,_T,17219
2014,SI_COV_SOCDL,NUMBER,_T,_T,20286
2015,SI_COV_SOCDL,NUMBER,_T,_T,23048
2016,SI_COV_SOCDL,NUMBER,_T,_T,25127
2017,SI_COV_SOCDL,NUMBER,_T,_T,25944
2018,SI_COV_SOCDL,NUMBER,_T,_T,26394
2019,SI_COV_SOCDL,NUMBER,_T,_T,27774
2020,SI_COV_SOCDL,NUMBER,_T,_T,28270
2021,SI_COV_SOCDL,NUMBER,_T,_T,29691
2012,SI_COV_SOCDL,NUMBER,M,_T,8008
2013,SI_COV_SOCDL,NUMBER,M,_T,8008
2014,SI_COV_SOCDL,NUMBER,M,_T,9264
2015,SI_COV_SOCDL,NUMBER,M,_T,10465
2016,SI_COV_SOCDL,NUMBER,M,_T,11383
2017,SI_COV_SOCDL,NUMBER,M,_T,11987
2018,SI_COV_SOCDL,NUMBER,M,_T,12123
2019,SI_COV_SOCDL,NUMBER,M,_T,12813
2020,SI_COV_SOCDL,NUMBER,M,_T,12419
2021,SI_COV_SOCDL,NUMBER,M,_T,13673
2012,SI_COV_SOCDL,NUMBER,F,_T,9211
2013,SI_COV_SOCDL,NUMBER,F,_T,9211
2014,SI_COV_SOCDL,NUMBER,F,_T,11022
2015,SI_COV_SOCDL,NUMBER,F,_T,12581
2016,SI_COV_SOCDL,NUMBER,F,_T,13744
2017,SI_COV_SOCDL,NUMBER,F,_T,13957
2018,SI_COV_SOCDL,NUMBER,F,_T,14271
2019,SI_COV_SOCDL,NUMBER,F,_T,14961
2020,SI_COV_SOCDL,NUMBER,F,_T,15851
2021,SI_COV_SOCDL,NUMBER,F,_T,16018
2012,SI_COV_SOCDL,NUMBER,_T,_OWCH,1849
2013,SI_COV_SOCDL,NUMBER,_T,_OWCH,1849
2014,SI_COV_SOCDL,NUMBER,_T,_OWCH,1501
2015,SI_COV_SOCDL,NUMBER,_T,_OWCH,1272
2016,SI_COV_SOCDL,NUMBER,_T,_OWCH,1492
2017,SI_COV_SOCDL,NUMBER,_T,_OWCH,2022
2018,SI_COV_SOCDL,NUMBER,_T,_OWCH,1538
2019,SI_COV_SOCDL,NUMBER,_T,_OWCH,1689
2020,SI_COV_SOCDL,NUMBER,_T,_OWCH,1982
2021,SI_COV_SOCDL,NUMBER,_T,_OWCH,2021
2012,SI_COV_SOCDL,NUMBER,M,_OWCH,937
2013,SI_COV_SOCDL,NUMBER,M,_OWCH,937
2014,SI_COV_SOCDL,NUMBER,M,_OWCH,848
2015,SI_COV_SOCDL,NUMBER,M,_OWCH,718
2016,SI_COV_SOCDL,NUMBER,M,_OWCH,905
2017,SI_COV_SOCDL,NUMBER,M,_OWCH,1129
2018,SI_COV_SOCDL,NUMBER,M,_OWCH,919
2019,SI_COV_SOCDL,NUMBER,M,_OWCH,1010
2020,SI_COV_SOCDL,NUMBER,M,_OWCH,1189
2021,SI_COV_SOCDL,NUMBER,M,_OWCH,1220
2012,SI_COV_SOCDL,NUMBER,F,_OWCH,912
2013,SI_COV_SOCDL,NUMBER,F,_OWCH,912
2014,SI_COV_SOCDL,NUMBER,F,_OWCH,653
2015,SI_COV_SOCDL,NUMBER,F,_OWCH,554
2016,SI_COV_SOCDL,NUMBER,F,_OWCH,587
2017,SI_COV_SOCDL,NUMBER,F,_OWCH,893
2018,SI_COV_SOCDL,NUMBER,F,_OWCH,619
2019,SI_COV_SOCDL,NUMBER,F,_OWCH,679
2020,SI_COV_SOCDL,NUMBER,F,_OWCH,793
2021,SI_COV_SOCDL,NUMBER,F,_OWCH,801
2012,SI_COV_SOCSRAZ,NUMBER,_T,_T,333
2013,SI_COV_SOCSRAZ,NUMBER,_T,_T,333
2014,SI_COV_SOCSRAZ,NUMBER,_T,_T,432
2015,SI_COV_SOCSRAZ,NUMBER,_T,_T,410
2016,SI_COV_SOCSRAZ,NUMBER,_T,_T,339
2017,SI_COV_SOCSRAZ,NUMBER,_T,_T,349
2018,SI_COV_SOCSRAZ,NUMBER,_T,_T,382
2019,SI_COV_SOCSRAZ,NUMBER,_T,_T,239
2020,SI_COV_SOCSRAZ,NUMBER,_T,_T,223
2021,SI_COV_SOCSRAZ,NUMBER,_T,_T,248
2012,SI_COV_SOCSRAZ,NUMBER,M,_T,199
2013,SI_COV_SOCSRAZ,NUMBER,M,_T,199
2014,SI_COV_SOCSRAZ,NUMBER,M,_T,248
2015,SI_COV_SOCSRAZ,NUMBER,M,_T,235
2016,SI_COV_SOCSRAZ,NUMBER,M,_T,186
2017,SI_COV_SOCSRAZ,NUMBER,M,_T,184
2018,SI_COV_SOCSRAZ,NUMBER,M,_T,204
2019,SI_COV_SOCSRAZ,NUMBER,M,_T,115
2020,SI_COV_SOCSRAZ,NUMBER,M,_T,112
2021,SI_COV_SOCSRAZ,NUMBER,M,_T,137
2012,SI_COV_SOCSRAZ,NUMBER,F,_T,134
2013,SI_COV_SOCSRAZ,NUMBER,F,_T,134
2014,SI_COV_SOCSRAZ,NUMBER,F,_T,184
2015,SI_COV_SOCSRAZ,NUMBER,F,_T,175
2016,SI_COV_SOCSRAZ,NUMBER,F,_T,153
2017,SI_COV_SOCSRAZ,NUMBER,F,_T,165
