Year,SERIES,UNIT_MEASURE,Value
2009,DC_TRF_TOTLFDI,CUR_NAC_1000000,170.4
2010,DC_TRF_TOTLFDI,CUR_NAC_1000000,205.1
2011,DC_TRF_TOTLFDI,CUR_NAC_1000000,372.5
2012,DC_TRF_TOTLFDI,CUR_NAC_1000000,403.6
2013,DC_TRF_TOTLFDI,CUR_NAC_1000000,165.3
2014,DC_TRF_TOTLFDI,CUR_NAC_1000000,422.3
2015,DC_TRF_TOTLFDI,CUR_NAC_1000000,146.5
2016,DC_TRF_TOTLFDI,CUR_NAC_1000000,84.5
2017,DC_TRF_TOTLFDI,CUR_NAC_1000000,284.0
2018,DC_TRF_TOTLFDI,CUR_NAC_1000000,399.1
2019,DC_TRF_TOTLFDI,CUR_NAC_1000000,398.1
2020,DC_TRF_TOTLFDI,CUR_NAC_1000000,304.8
2021,DC_TRF_TOTLFDI,CUR_NAC_1000000,214.2
2022,DC_TRF_TOTLFDI,CUR_NAC_1000000,398.6
2023,DC_TRF_TOTLFDI,CUR_NAC_1000000,1081.6
2009,DC_TRF_TOTLDIS,CUR_NAC_1000000,3550.3
2010,DC_TRF_TOTLDIS,CUR_NAC_1000000,3710.2
2011,DC_TRF_TOTLDIS,CUR_NAC_1000000,4025.4
2012,DC_TRF_TOTLDIS,CUR_NAC_1000000,4209.9
2013,DC_TRF_TOTLDIS,CUR_NAC_1000000,4867.0
2014,DC_TRF_TOTLDIS,CUR_NAC_1000000,4621.7
2015,DC_TRF_TOTLDIS,CUR_NAC_1000000,5162.5
2016,DC_TRF_TOTLDIS,CUR_NAC_1000000,4977.5
2017,DC_TRF_TOTLDIS,CUR_NAC_1000000,5122.6
2018,DC_TRF_TOTLDIS,CUR_NAC_1000000,5362.2
2019,DC_TRF_TOTLDIS,CUR_NAC_1000000,5524.3
2020,DC_TRF_TOTLDIS,CUR_NAC_1000000,5581.3
2021,DC_TRF_TOTLDIS,CUR_NAC_1000000,5756.7
2022,DC_TRF_TOTLDIS,CUR_NAC_1000000,6132.3
2023,DC_TRF_TOTLDIS,CUR_NAC_1000000,7167.4
