Year,SERIES,UNIT_MEASURE,Value
2010,EN_REF_WASGENT,TONNES,392891
2011,EN_REF_WASGENT,TONNES,381185
2012,EN_REF_WASGENT,TONNES,376438
2013,EN_REF_WASGENT,TONNES,388767
2014,EN_REF_WASGENT,TONNES,
2015,EN_REF_WASGENT,TONNES,403352
2016,EN_REF_WASGENT,TONNES,425962
2017,EN_REF_WASGENT,TONNES,391186
2018,EN_REF_WASGENT,TONNES,395737
2019,EN_REF_WASGENT,TONNES,399826
2020,EN_REF_WASGENT,TONNES,390426
2021,EN_REF_WASGENT,TONNES,397182
2010,EN_REF_WASDELT,TONNES,1926
2011,EN_REF_WASDELT,TONNES,887
2012,EN_REF_WASDELT,TONNES,1635
2013,EN_REF_WASDELT,TONNES,3156
2014,EN_REF_WASDELT,TONNES,3260
2015,EN_REF_WASDELT,TONNES,2864
2016,EN_REF_WASDELT,TONNES,2901
2017,EN_REF_WASDELT,TONNES,2946
2018,EN_REF_WASDELT,TONNES,2767
2019,EN_REF_WASDELT,TONNES,2929
2020,EN_REF_WASDELT,TONNES,1999
2021,EN_REF_WASDELT,TONNES,2189
2010,EN_REF_WASTSHR,PT,0.5
2011,EN_REF_WASTSHR,PT,0.2
2012,EN_REF_WASTSHR,PT,0.4
2013,EN_REF_WASTSHR,PT,0.8
2014,EN_REF_WASTSHR,PT,
2015,EN_REF_WASTSHR,PT,0.7
2016,EN_REF_WASTSHR,PT,0.7
2017,EN_REF_WASTSHR,PT,0.8
2018,EN_REF_WASTSHR,PT,0.7
2019,EN_REF_WASTSHR,PT,0.7
2020,EN_REF_WASTSHR,PT,0.5
2021,EN_REF_WASTSHR,PT,0.6
