Year,SERIES,UNIT_MEASURE,SEX,Value,,,,,
2009,VC_IHR_PSRC,PER_100000_POP,_T,2.5,,,,,
2010,VC_IHR_PSRC,PER_100000_POP,_T,1.7,,,,,
2011,VC_IHR_PSRC,PER_100000_POP,_T,1.8,,,,,
2012,VC_IHR_PSRC,PER_100000_POP,_T,2.8,,,,,
2013,VC_IHR_PSRC,PER_100000_POP,_T,1.7,,,,,
2014,VC_IHR_PSRC,PER_100000_POP,_T,2.4,,,,,
2015,VC_IHR_PSRC,PER_100000_POP,_T,2.6,,,,,
2016,VC_IHR_PSRC,PER_100000_POP,_T,2.0,,,,,
2017,VC_IHR_PSRC,PER_100000_POP,_T,1.3,,,,,
2018,VC_IHR_PSRC,PER_100000_POP,_T,1.6,,,,,
2019,VC_IHR_PSRC,PER_100000_POP,_T,1.2,,,,,
2020,VC_IHR_PSRC,PER_100000_POP,_T,1.1,,,,,
2021,VC_IHR_PSRC,PER_100000_POP,_T,1.1,,,,,
2009,VC_IHR_PSRCN,NUMBER,_T,29,,,,,
2010,VC_IHR_PSRCN,NUMBER,_T,20,,,,,
2011,VC_IHR_PSRCN,NUMBER,_T,21,,,,,
2012,VC_IHR_PSRCN,NUMBER,_T,33,,,,,
2013,VC_IHR_PSRCN,NUMBER,_T,20,,,,,
2014,VC_IHR_PSRCN,NUMBER,_T,28,,,,,
2015,VC_IHR_PSRCN,NUMBER,_T,30,,,,,
2016,VC_IHR_PSRCN,NUMBER,_T,23,,,,,
2017,VC_IHR_PSRCN,NUMBER,_T,15,,,,,
2018,VC_IHR_PSRCN,NUMBER,_T,19,,,,,
2019,VC_IHR_PSRCN,NUMBER,_T,14,,,,,
2020,VC_IHR_PSRCN,NUMBER,_T,13,,,,,
2021,VC_IHR_PSRCN,NUMBER,_T,13,,,,,
2009,VC_IHR_PSRCN,NUMBER,M,19,,,,,
2010,VC_IHR_PSRCN,NUMBER,M,12,,,,,
2011,VC_IHR_PSRCN,NUMBER,M,15,,,,,
2012,VC_IHR_PSRCN,NUMBER,M,18,,,,,
2013,VC_IHR_PSRCN,NUMBER,M,12,,,,,
2014,VC_IHR_PSRCN,NUMBER,M,19,,,,,
2015,VC_IHR_PSRCN,NUMBER,M,20,,,,,
2016,VC_IHR_PSRCN,NUMBER,M,14,,,,,
2017,VC_IHR_PSRCN,NUMBER,M,8,,,,,
2018,VC_IHR_PSRCN,NUMBER,M,17,,,,,
2019,VC_IHR_PSRCN,NUMBER,M,10,,,,,
2020,VC_IHR_PSRCN,NUMBER,M,9,,,,,
2021,VC_IHR_PSRCN,NUMBER,M,9,,,,,
2009,VC_IHR_PSRCN,NUMBER,F,10,,,,,
2010,VC_IHR_PSRCN,NUMBER,F,8,,,,,
2011,VC_IHR_PSRCN,NUMBER,F,6,,,,,
2012,VC_IHR_PSRCN,NUMBER,F,15,,,,,
2013,VC_IHR_PSRCN,NUMBER,F,8,,,,,
2014,VC_IHR_PSRCN,NUMBER,F,9,,,,,
2015,VC_IHR_PSRCN,NUMBER,F,10,,,,,
2016,VC_IHR_PSRCN,NUMBER,F,9,,,,,
2017,VC_IHR_PSRCN,NUMBER,F,7,,,,,
2018,VC_IHR_PSRCN,NUMBER,F,2,,,,,
2019,VC_IHR_PSRCN,NUMBER,F,4,,,,,
2020,VC_IHR_PSRCN,NUMBER,F,4,,,,,
2021,VC_IHR_PSRCN,NUMBER,F,4,,,,,
