Year,SERIES,UNIT_MEASURE,Value,,,,,,
2009,DI_SUSP_TRS,CUR_LCU,453000,,,,,,
2010,DI_SUSP_TRS,CUR_LCU,728000,,,,,,
2011,DI_SUSP_TRS,CUR_LCU,404000,,,,,,
2012,DI_SUSP_TRS,CUR_LCU,2900000,,,,,,
2013,DI_SUSP_TRS,CUR_LCU,1107058,,,,,,
2014,DI_SUSP_TRS,CUR_LCU,2738514,,,,,,
2015,DI_SUSP_TRS,CUR_LCU,2563708,,,,,,
2016,DI_SUSP_TRS,CUR_LCU,78163647,,,,,,
2017,DI_SUSP_TRS,CUR_LCU,5724857,,,,,,
2018,DI_SUSP_TRS,CUR_LCU,175957160,,,,,,
2019,DI_SUSP_TRS,CUR_LCU,9420753,,,,,,
2020,DI_SUSP_TRS,CUR_LCU,8389057,,,,,,
2021,DI_SUSP_TRS,CUR_LCU,11783151,,,,,,
2009,DI_SUSP_TRS,USD,332090,,,,,,
2010,DI_SUSP_TRS,USD,494309,,,,,,
2011,DI_SUSP_TRS,USD,267271,,,,,,
2012,DI_SUSP_TRS,USD,1954705,,,,,,
2013,DI_SUSP_TRS,USD,780159,,,,,,
2014,DI_SUSP_TRS,USD,1702619,,,,,,
2015,DI_SUSP_TRS,USD,1432183,,,,,,
2016,DI_SUSP_TRS,USD,42126518,,,,,,
2017,DI_SUSP_TRS,USD,3510438,,,,,,
2018,DI_SUSP_TRS,USD,103046443,,,,,,
2019,DI_SUSP_TRS,USD,5389465,,,,,,
2020,DI_SUSP_TRS,USD,5267636,,,,,,
2021,DI_SUSP_TRS,USD,6828315,,,,,,
