Year,SERIES,UNIT_MEASURE,AGE,SEX,Value,,,,,,,,,,
2009,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.3,,,,,,,,,,
2010,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.3,,,,,,,,,,
2011,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.4,,,,,,,,,,
2012,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.6,,,,,,,,,,
2013,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.6,,,,,,,,,,
2014,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.1,,,,,,,,,,
2015,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.5,,,,,,,,,,
2016,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.5,,,,,,,,,,
2017,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.5,,,,,,,,,,
2018,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.4,,,,,,,,,,
2019,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.4,,,,,,,,,,
2020,SH_HIV_INCDA,PER_100000_POP,_T,_T,0.3,,,,,,,,,,
2021,SH_HIV_INCDA,PER_100000_POP,_T,_T,1.4,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,_T,_T,4,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,_T,_T,4,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,_T,_T,5,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,_T,_T,8,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,_T,_T,8,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,_T,_T,2,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,_T,_T,7,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,_T,_T,7,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,_T,_T,7,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,_T,_T,5,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,_T,_T,5,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,_T,_T,3,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,_T,_T,16,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,_T,M,4,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,_T,M,4,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,_T,M,5,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,_T,M,8,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,_T,M,6,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,_T,M,2,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,_T,M,6,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,_T,M,6,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,_T,M,6,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,_T,M,3,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,_T,M,4,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,_T,M,3,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,_T,M,14,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,_T,F,0,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,_T,F,0,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,_T,F,0,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,_T,F,0,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,_T,F,2,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,_T,F,0,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,_T,F,1,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,_T,F,1,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,_T,F,1,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,_T,F,2,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,_T,F,1,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,_T,F,0,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,_T,F,2,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,Y20T29,_T,1,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,Y30T39,_T,1,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,Y40T49,_T,0,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,Y50T59,_T,2,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2009,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,Y20T29,_T,0,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,Y30T39,_T,2,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,Y40T49,_T,2,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2010,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,Y20T29,_T,1,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,Y30T39,_T,2,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,Y40T49,_T,1,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,Y50T59,_T,1,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2011,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,Y20T29,_T,3,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,Y30T39,_T,3,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,Y40T49,_T,2,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2012,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,Y20T29,_T,2,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,Y30T39,_T,5,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,Y40T49,_T,1,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2013,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,Y20T29,_T,1,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,Y30T39,_T,1,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,Y40T49,_T,0,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2014,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,Y20T29,_T,0,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,Y30T39,_T,1,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,Y40T49,_T,0,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,Y60T69,_T,1,,,,,,,,,,
2015,SH_HIV_INCDAS,NUMBER,_U,_T,5,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,Y20T29,_T,0,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,Y30T39,_T,1,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,Y40T49,_T,0,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,Y60T69,_T,1,,,,,,,,,,
2016,SH_HIV_INCDAS,NUMBER,_U,_T,5,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,Y20T29,_T,1,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,Y30T39,_T,2,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,Y40T49,_T,3,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,Y50T59,_T,1,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2017,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,Y20T29,_T,2,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,Y30T39,_T,1,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,Y40T49,_T,1,,,,,,,,,,
