Year,SERIES,UNIT_MEASURE,SEX,Value,,,
2009,SH_STA_SCIDEN,NUMBER,_T,258,,,
2010,SH_STA_SCIDEN,NUMBER,_T,230,,,
2011,SH_STA_SCIDEN,NUMBER,_T,282,,,
2012,SH_STA_SCIDEN,NUMBER,_T,227,,,
2013,SH_STA_SCIDEN,NUMBER,_T,190,,,
2014,SH_STA_SCIDEN,NUMBER,_T,207,,,
2015,SH_STA_SCIDEN,NUMBER,_T,218,,,
2016,SH_STA_SCIDEN,NUMBER,_T,205,,,
2017,SH_STA_SCIDEN,NUMBER,_T,180,,,
2018,SH_STA_SCIDEN,NUMBER,_T,164,,,
2019,SH_STA_SCIDEN,NUMBER,_T,173,,,
2020,SH_STA_SCIDEN,NUMBER,_T,185,,,
2021,SH_STA_SCIDEN,NUMBER,_T,194,,,
2009,SH_STA_SCIDEN,NUMBER,M,178,,,
2010,SH_STA_SCIDEN,NUMBER,M,184,,,
2011,SH_STA_SCIDEN,NUMBER,M,212,,,
2012,SH_STA_SCIDEN,NUMBER,M,174,,,
2013,SH_STA_SCIDEN,NUMBER,M,142,,,
2014,SH_STA_SCIDEN,NUMBER,M,156,,,
2015,SH_STA_SCIDEN,NUMBER,M,167,,,
2016,SH_STA_SCIDEN,NUMBER,M,157,,,
2017,SH_STA_SCIDEN,NUMBER,M,140,,,
2018,SH_STA_SCIDEN,NUMBER,M,120,,,
2019,SH_STA_SCIDEN,NUMBER,M,137,,,
2020,SH_STA_SCIDEN,NUMBER,M,144,,,
2021,SH_STA_SCIDEN,NUMBER,M,140,,,
2009,SH_STA_SCIDEN,NUMBER,F,80,,,
2010,SH_STA_SCIDEN,NUMBER,F,46,,,
2011,SH_STA_SCIDEN,NUMBER,F,70,,,
2012,SH_STA_SCIDEN,NUMBER,F,53,,,
2013,SH_STA_SCIDEN,NUMBER,F,48,,,
2014,SH_STA_SCIDEN,NUMBER,F,51,,,
2015,SH_STA_SCIDEN,NUMBER,F,51,,,
2016,SH_STA_SCIDEN,NUMBER,F,48,,,
2017,SH_STA_SCIDEN,NUMBER,F,40,,,
2018,SH_STA_SCIDEN,NUMBER,F,44,,,
2019,SH_STA_SCIDEN,NUMBER,F,36,,,
2020,SH_STA_SCIDEN,NUMBER,F,41,,,
2021,SH_STA_SCIDEN,NUMBER,F,54,,,
2009,SH_STA_SCIDE,PER_100000_POP,_T,21.9,,,
2010,SH_STA_SCIDE,PER_100000_POP,_T,19.6,,,
2011,SH_STA_SCIDE,PER_100000_POP,_T,24.0,,,
2012,SH_STA_SCIDE,PER_100000_POP,_T,19.3,,,
2013,SH_STA_SCIDE,PER_100000_POP,_T,16.2,,,
2014,SH_STA_SCIDE,PER_100000_POP,_T,17.7,,,
2015,SH_STA_SCIDE,PER_100000_POP,_T,18.8,,,
2016,SH_STA_SCIDE,PER_100000_POP,_T,17.7,,,
2017,SH_STA_SCIDE,PER_100000_POP,_T,15.6,,,
2018,SH_STA_SCIDE,PER_100000_POP,_T,14.3,,,
2019,SH_STA_SCIDE,PER_100000_POP,_T,15.1,,,
2020,SH_STA_SCIDE,PER_100000_POP,_T,16.3,,,
2021,SH_STA_SCIDE,PER_100000_POP,_T,17.2,,,
2009,SH_STA_SCIDE,PER_100000_POP,M,30.9,,,
2010,SH_STA_SCIDE,PER_100000_POP,M,32.0,,,
2011,SH_STA_SCIDE,PER_100000_POP,M,36.9,,,
2012,SH_STA_SCIDE,PER_100000_POP,M,30.3,,,
2013,SH_STA_SCIDE,PER_100000_POP,M,24.8,,,
2014,SH_STA_SCIDE,PER_100000_POP,M,27.4,,,
2015,SH_STA_SCIDE,PER_100000_POP,M,29.4,,,
2016,SH_STA_SCIDE,PER_100000_POP,M,27.8,,,
2017,SH_STA_SCIDE,PER_100000_POP,M,24.9,,,
2018,SH_STA_SCIDE,PER_100000_POP,M,21.4,,,
2019,SH_STA_SCIDE,PER_100000_POP,M,24.5,,,
2020,SH_STA_SCIDE,PER_100000_POP,M,25.8,,,
2021,SH_STA_SCIDE,PER_100000_POP,M,25.2,,,
2009,SH_STA_SCIDE,PER_100000_POP,F,13.3,,,
2010,SH_STA_SCIDE,PER_100000_POP,F,7.7,,,
2011,SH_STA_SCIDE,PER_100000_POP,F,11.7,,,
2012,SH_STA_SCIDE,PER_100000_POP,F,8.8,,,
2013,SH_STA_SCIDE,PER_100000_POP,F,8.0,,,
2014,SH_STA_SCIDE,PER_100000_POP,F,8.5,,,
2015,SH_STA_SCIDE,PER_100000_POP,F,8.6,,,
2016,SH_STA_SCIDE,PER_100000_POP,F,8.1,,,
2017,SH_STA_SCIDE,PER_100000_POP,F,6.8,,,
2018,SH_STA_SCIDE,PER_100000_POP,F,7.5,,,
2019,SH_STA_SCIDE,PER_100000_POP,F,6.2,,,
2020,SH_STA_SCIDE,PER_100000_POP,F,7.1,,,
2021,SH_STA_SCIDE,PER_100000_POP,F,9.4,,,
