Year,SERIES,UNIT_MEASURE,SEX,Value,,,,,,
2000,SG_GEN_PARLN,NUMBER,F,15,,,,,,
2002,SG_GEN_PARLN,NUMBER,F,14,,,,,,
2006,SG_GEN_PARLN,NUMBER,F,17,,,,,,
2010,SG_GEN_PARLN,NUMBER,F,18,,,,,,
2014,SG_GEN_PARLN,NUMBER,F,13,,,,,,
2018,SG_GEN_PARLN,NUMBER,F,15,,,,,,
2022,SG_GEN_PARLN,NUMBER,F,16,,,,,,
2000,SG_GEN_PARLNT,NUMBER,_T,83,,,,,,
2002,SG_GEN_PARLNT,NUMBER,_T,83,,,,,,
2006,SG_GEN_PARLNT,NUMBER,_T,82,,,,,,
2010,SG_GEN_PARLNT,NUMBER,_T,83,,,,,,
2014,SG_GEN_PARLNT,NUMBER,_T,83,,,,,,
2018,SG_GEN_PARLNT,NUMBER,_T,83,,,,,,
2022,SG_GEN_PARLNT,NUMBER,_T,83,,,,,,
2000,SG_GEN_PARL,PT,F,18.1,,,,,,
2002,SG_GEN_PARL,PT,F,16.9,,,,,,
2006,SG_GEN_PARL,PT,F,20.7,,,,,,
2010,SG_GEN_PARL,PT,F,21.7,,,,,,
2014,SG_GEN_PARL,PT,F,15.7,,,,,,
2018,SG_GEN_PARL,PT,F,18.1,,,,,,
2022,SG_GEN_PARL,PT,F,19.3,,,,,,
2000,SG_GEN_LPARL,PT,F,15.8,,,,,,
2004,SG_GEN_LPARL,PT,F,16.3,,,,,,
2008,SG_GEN_LPARL,PT,F,15.8,,,,,,
2012,SG_GEN_LPARL,PT,F,14.5,,,,,,
2015,SG_GEN_LPARL,PT,F,14.7,,,,,,
2016,SG_GEN_LPARL,PT,F,16.4,,,,,,
2020,SG_GEN_LPARL,PT,F,17.0,,,,,,
