Year,SERIES,UNIT_MEASURE,AGE,COMPOSITE_BREAKDOWN,Value
2009,FB_CBK_BRCH,NUMBER,,BNK_T,409
2010,FB_CBK_BRCH,NUMBER,,BNK_T,410
2011,FB_CBK_BRCH,NUMBER,,BNK_T,416
2012,FB_CBK_BRCH,NUMBER,,BNK_T,418
2013,FB_CBK_BRCH,NUMBER,,BNK_T,437
2014,FB_CBK_BRCH,NUMBER,,BNK_T,377
2015,FB_CBK_BRCH,NUMBER,,BNK_T,387
2016,FB_CBK_BRCH,NUMBER,,BNK_T,350
2017,FB_CBK_BRCH,NUMBER,,BNK_T,344
2018,FB_CBK_BRCH,NUMBER,,BNK_T,343
2019,FB_CBK_BRCH,NUMBER,,BNK_T,340
2020,FB_CBK_BRCH,NUMBER,,BNK_T,336
2021,FB_CBK_BRCH,NUMBER,,BNK_T,337
2009,FB_CBK_BRCH,NUMBER,,BNK_RS,347
2010,FB_CBK_BRCH,NUMBER,,BNK_RS,355
2011,FB_CBK_BRCH,NUMBER,,BNK_RS,360
2012,FB_CBK_BRCH,NUMBER,,BNK_RS,367
2013,FB_CBK_BRCH,NUMBER,,BNK_RS,387
2014,FB_CBK_BRCH,NUMBER,,BNK_RS,328
2015,FB_CBK_BRCH,NUMBER,,BNK_RS,336
2016,FB_CBK_BRCH,NUMBER,,BNK_RS,298
2017,FB_CBK_BRCH,NUMBER,,BNK_RS,293
2018,FB_CBK_BRCH,NUMBER,,BNK_RS,292
2019,FB_CBK_BRCH,NUMBER,,BNK_RS,288
2020,FB_CBK_BRCH,NUMBER,,BNK_RS,284
2021,FB_CBK_BRCH,NUMBER,,BNK_RS,285
2009,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,62
2010,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,55
2011,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,56
2012,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,51
2013,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,50
2014,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,49
2015,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,51
2016,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,52
2017,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,51
2018,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,51
2019,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,52
2020,FB_CBK_BRCH,NUMBER,,BNK_FBIHURS,52
