Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2009,GB_XPD_RSDV,PT,,0.30
2010,GB_XPD_RSDV,PT,,0.25
2011,GB_XPD_RSDV,PT,,0.30
2012,GB_XPD_RSDV,PT,,0.40
2013,GB_XPD_RSDV,PT,,0.56
2014,GB_XPD_RSDV,PT,,0.20
2015,GB_XPD_RSDV,PT,,0.19
2016,GB_XPD_RSDV,PT,,0.17
2017,GB_XPD_RSDV,PT,,0.17
2018,GB_XPD_RSDV,PT,,0.17
2019,GB_XPD_RSDV,PT,,0.16
2020,GB_XPD_RSDV,PT,,0.18
2021,GB_XPD_RSDV,PT,,0.20
2009,GB_XPD_RSDSEC,CUR_NAC_1000,_T,24566
2010,GB_XPD_RSDSEC,CUR_NAC_1000,_T,20779
2011,GB_XPD_RSDSEC,CUR_NAC_1000,_T,26191
2012,GB_XPD_RSDSEC,CUR_NAC_1000,_T,34297
2013,GB_XPD_RSDSEC,CUR_NAC_1000,_T,49035
2014,GB_XPD_RSDSEC,CUR_NAC_1000,_T,17839
2015,GB_XPD_RSDSEC,CUR_NAC_1000,_T,17935
2016,GB_XPD_RSDSEC,CUR_NAC_1000,_T,16736
2017,GB_XPD_RSDSEC,CUR_NAC_1000,_T,17196
2018,GB_XPD_RSDSEC,CUR_NAC_1000,_T,18341
2019,GB_XPD_RSDSEC,CUR_NAC_1000,_T,17687
2020,GB_XPD_RSDSEC,CUR_NAC_1000,_T,20289
2021,GB_XPD_RSDSEC,CUR_NAC_1000,_T,25394
2009,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,10017
2010,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,8520
2011,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,15526
2012,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,27430
2013,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,43541
2014,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,10614
2015,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,9780
2016,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,11376
2017,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,10932
2018,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,11173
2019,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,9636
2020,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,11693
2021,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECBUS,13612
2009,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1670
2010,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,2019
2011,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,3592
2012,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1946
2013,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,924
2014,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1598
2015,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,2450
2016,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,827
2017,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1425
2018,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1235
2019,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1357
2020,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1494
2021,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECGOV,1609
2009,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,12879
2010,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,10091
2011,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,7031
2012,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,4875
2013,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,4464
2014,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,4845
2015,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,5225
2016,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,3954
2017,GB_XPD_RSDSEC,CUR_NAC_1000,RD_SECHEDU,4425
