Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2004,Proportion of population living below the national poverty line,Number,Total,199752.0
2007,Proportion of population living below the national poverty line,Number,Total,182389.0
2011,Proportion of population living below the national poverty line,Number,Total,152909.0
2015,Proportion of population living below the national poverty line,Number,Total,126043.0
2004,Proportion of population living below the national poverty line,Percent,Total,15.8
2007,Proportion of population living below the national poverty line,Percent,Total,15.6
2011,Proportion of population living below the national poverty line,Percent,Total,14.4
2015,Proportion of population living below the national poverty line,Percent,Total,12.8
2004,Proportion of households living below the national poverty line,Number,Total,63973.0
2007,Proportion of households living below the national poverty line,Number,Total,64708.0
2011,Proportion of households living below the national poverty line,Number,Total,53234.0
2015,Proportion of households living below the national poverty line,Number,Total,49805.0
2004,Proportion of households living below the national poverty line,Percent,Total,16.1
2007,Proportion of households living below the national poverty line,Percent,Total,17.3
2011,Proportion of households living below the national poverty line,Percent,Total,14.8
2015,Proportion of households living below the national poverty line,Percent,Total,13.9
