Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2009,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.1
2010,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.2
2011,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.1
2012,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.5
2013,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.5
2014,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4.2
2015,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.6
2016,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.8
2017,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,3.7
2018,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4.3
2019,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4.3
2020,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4.5
2021,Proportion of the population covered by social protection systems,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4.6
2009,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,36917.0
2010,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,37178.0
2011,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,36323.0
2012,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,41157.0
2013,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,41212.0
2014,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,49147.0
2015,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,41410.0
2016,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,43582.0
2017,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,43062.0
2018,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,48921.0
2019,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,49252.0
2020,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,50652.0
2021,Proportion of the population covered by social protection systems,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,52068.0
2012,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,18712.0
2013,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,19143.0
2014,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,23658.0
2015,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,18963.0
2016,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,19926.0
2017,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,19812.0
2018,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,23658.0
2019,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,23293.0
2020,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,23661.0
2021,Number of social protection beneficiaries by sex and age,Number,Male,All age ranges or no breakdown by age,24954.0
2012,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2811.0
2013,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2812.0
2014,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2653.0
2015,Number of social protection beneficiaries by sex and age,Number,Male,Minor,1586.0
2016,Number of social protection beneficiaries by sex and age,Number,Male,Minor,1797.0
2017,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2065.0
2018,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2430.0
