Year,SERIES,UNIT_MEASURE,Value
2009,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,27900
2010,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,16730
2011,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,24890
2012,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,38155
2013,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,16630
2014,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,8630
2015,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,8930
2016,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,1730
2017,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,830
2018,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,107015
2019,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,83584
2020,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,114740
2021,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,in BAM,220980
