Year,SERIES,UNIT_MEASURE,Sex,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Value
2009,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,2.5
2010,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.7
2011,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.8
2012,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,2.8
2013,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.7
2014,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,2.4
2015,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,2.6
2016,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,2.0
2017,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.3
2018,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.6
2019,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.2
2020,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.1
2021,VC_IHR_PSRC,"Per 100,000 population",Both sexes or no breakdown by sex,,,,,,1.1
2009,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,29.0
2010,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,20.0
2011,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,21.0
2012,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,33.0
2013,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,20.0
2014,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,28.0
2015,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,30.0
2016,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,23.0
2017,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,15.0
2018,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,19.0
2019,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,14.0
2020,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,13.0
2021,VC_IHR_PSRCN,Number,Both sexes or no breakdown by sex,,,,,,13.0
2009,VC_IHR_PSRCN,Number,Male,,,,,,19.0
2010,VC_IHR_PSRCN,Number,Male,,,,,,12.0
2011,VC_IHR_PSRCN,Number,Male,,,,,,15.0
2012,VC_IHR_PSRCN,Number,Male,,,,,,18.0
2013,VC_IHR_PSRCN,Number,Male,,,,,,12.0
2014,VC_IHR_PSRCN,Number,Male,,,,,,19.0
2015,VC_IHR_PSRCN,Number,Male,,,,,,20.0
2016,VC_IHR_PSRCN,Number,Male,,,,,,14.0
2017,VC_IHR_PSRCN,Number,Male,,,,,,8.0
2018,VC_IHR_PSRCN,Number,Male,,,,,,17.0
2019,VC_IHR_PSRCN,Number,Male,,,,,,10.0
2020,VC_IHR_PSRCN,Number,Male,,,,,,9.0
2021,VC_IHR_PSRCN,Number,Male,,,,,,9.0
2009,VC_IHR_PSRCN,Number,Female,,,,,,10.0
2010,VC_IHR_PSRCN,Number,Female,,,,,,8.0
2011,VC_IHR_PSRCN,Number,Female,,,,,,6.0
2012,VC_IHR_PSRCN,Number,Female,,,,,,15.0
2013,VC_IHR_PSRCN,Number,Female,,,,,,8.0
2014,VC_IHR_PSRCN,Number,Female,,,,,,9.0
2015,VC_IHR_PSRCN,Number,Female,,,,,,10.0
2016,VC_IHR_PSRCN,Number,Female,,,,,,9.0
2017,VC_IHR_PSRCN,Number,Female,,,,,,7.0
2018,VC_IHR_PSRCN,Number,Female,,,,,,2.0
2019,VC_IHR_PSRCN,Number,Female,,,,,,4.0
2020,VC_IHR_PSRCN,Number,Female,,,,,,4.0
2021,VC_IHR_PSRCN,Number,Female,,,,,,4.0
