Year,SERIES,UNIT_MEASURE,Sex,Age,COMPOSITE_BREAKDOWN,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2009.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,0.0
2010.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,0.0
2011.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2012.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2013.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,0.0
2014.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,0.0
2015.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2016.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2017.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2018.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,0.0
2019.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2020.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,1.0
2021.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,No breakdown,,,,,0.0
2009.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2010.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2011.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,1.0
2012.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,1.0
2013.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2014.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2015.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,1.0
2016.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,1.0
2017.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2018.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2019.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2020.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2021.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_01,,,,,0.0
2009.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2010.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2011.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2012.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2013.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2014.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2015.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2016.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2017.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2018.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2019.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2020.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2021.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_02,,,,,0.0
2009.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2010.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2011.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2012.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2013.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2014.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2015.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2016.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2017.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,1.0
2018.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2019.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,1.0
2020.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,1.0
2021.0,VC_HTF_DETCA,Number,Both sexes or no breakdown by sex,,VC_HTF_03,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,1.0
2012.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,2.0
2013.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,1.0
2016.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,1.0
2017.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,1.0
2018.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,1.0
2020.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,1.0
2021.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2012.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2013.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2016.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,1.0
2017.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2018.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2020.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2021.0,Detected victims of human trafficking (number),Number,Male,_A,,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,1.0
2012.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,2.0
2013.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,1.0
2016.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2017.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2018.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2020.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2021.0,Detected victims of human trafficking (number),Number,Female,_A,,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2012.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2013.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2016.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2017.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,1.0
2018.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,1.0
2020.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,1.0
2021.0,Detected victims of human trafficking (number),Number,Female,_M,,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,1.0
2012.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,2.0
2013.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,1.0
2016.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2017.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,1.0
2018.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,1.0
2020.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2021.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_01,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2012.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2013.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2016.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2017.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2018.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2020.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,1.0
2021.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,VC_HTFET_02,,,,,0.0
2009.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2010.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2011.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2012.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2013.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2014.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2015.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2016.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,1.0
2017.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2018.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2019.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2020.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2021.0,Detected victims of human trafficking (number),Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNK,,,,,0.0
2009.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.0
2010.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.0
2011.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.1
2012.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.2
2013.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.0
2014.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.0
2015.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.1
2016.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.1
2017.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.1
2018.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.0
2019.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.1
2020.0,VC_HTF_DETVR,"Per 100,000 population",,,,,,,,0.1
