Year,SERIES,UNIT_MEASURE,AGE,Sex,Value
2009,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,5.5
2010,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,4.9
2011,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,4.9
2012,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,4.5
2013,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,4.8
2014,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,3.5
2015,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,3.5
2016,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,3.4
2017,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,2.9
2018,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,2.7
2019,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,2.2
2020,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,5.6
2021,SH_DYN_MORT,"Per 1,000 live births",Y0T4,Both sexes or no breakdown by sex,2.2
