Year,SERIES,UNIT_MEASURE,Age,Sex,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Value
2009,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.3
2010,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.3
2011,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.4
2012,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.6
2013,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.6
2014,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.1
2015,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.5
2016,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.5
2017,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.5
2018,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.4
2019,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.4
2020,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,0.3
2021,"HIV incidence per 100,000 population","Per 100,000 population",All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,1.4
2009,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,4.0
2010,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,4.0
2011,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2012,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,8.0
2013,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,8.0
2014,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2015,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,7.0
2016,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,7.0
2017,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,7.0
2018,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2019,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2020,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,3.0
2021,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,,,,,,,,,,16.0
2009,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,4.0
2010,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,4.0
2011,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,5.0
2012,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,8.0
2013,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,6.0
2014,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,2.0
2015,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,6.0
2016,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,6.0
2017,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,6.0
2018,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,3.0
2019,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,4.0
2020,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,3.0
2021,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Male,,,,,,,,,,,14.0
2009,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,0.0
2010,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,0.0
2011,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,0.0
2012,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,0.0
2013,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,2.0
2014,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,0.0
2015,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,1.0
2016,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,1.0
2017,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,1.0
2018,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,2.0
2019,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,1.0
2020,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,0.0
2021,Number of registered cases of HIV infection during the year,Number,All age ranges or no breakdown by age,Female,,,,,,,,,,,2.0
2009,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2009,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2009,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2009,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2009,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2009,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2010,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2010,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2010,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2010,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2010,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2010,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2011,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2011,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2011,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2011,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2011,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2011,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2012,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,3.0
2012,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,3.0
2012,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2012,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2012,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2012,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2013,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2013,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2013,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2013,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2013,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2013,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2014,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2014,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2014,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2014,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2014,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2014,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2015,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2015,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2015,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2015,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2015,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2015,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2016,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2016,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2016,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2016,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2016,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2016,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2017,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2017,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2017,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,3.0
2017,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2017,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2017,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2018,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,2.0
2018,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2018,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2018,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2018,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2018,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2019,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2019,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,4.0
2019,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2019,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2019,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2019,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2020,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2020,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2020,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2020,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2020,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2020,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2021,Number of registered cases of HIV infection during the year,Number,20 to 29 years old,Both sexes or no breakdown by sex,,,,,,,,,,,5.0
2021,Number of registered cases of HIV infection during the year,Number,30 to 39 years old,Both sexes or no breakdown by sex,,,,,,,,,,,7.0
2021,Number of registered cases of HIV infection during the year,Number,40 to 49 years old,Both sexes or no breakdown by sex,,,,,,,,,,,3.0
2021,Number of registered cases of HIV infection during the year,Number,50 to 59 years old,Both sexes or no breakdown by sex,,,,,,,,,,,1.0
2021,Number of registered cases of HIV infection during the year,Number,60 to 69 years old,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
2021,Number of registered cases of HIV infection during the year,Number,Unknown,Both sexes or no breakdown by sex,,,,,,,,,,,0.0
