Year,SERIES,UNIT_MEASURE,Sex,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2009,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,258.0
2010,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,230.0
2011,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,282.0
2012,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,227.0
2013,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,190.0
2014,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,207.0
2015,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,218.0
2016,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,205.0
2017,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,180.0
2018,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,164.0
2019,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,173.0
2020,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,185.0
2021,SH_STA_SCIDEN,Number,Both sexes or no breakdown by sex,,,,194.0
2009,SH_STA_SCIDEN,Number,Male,,,,178.0
2010,SH_STA_SCIDEN,Number,Male,,,,184.0
2011,SH_STA_SCIDEN,Number,Male,,,,212.0
2012,SH_STA_SCIDEN,Number,Male,,,,174.0
2013,SH_STA_SCIDEN,Number,Male,,,,142.0
2014,SH_STA_SCIDEN,Number,Male,,,,156.0
2015,SH_STA_SCIDEN,Number,Male,,,,167.0
2016,SH_STA_SCIDEN,Number,Male,,,,157.0
2017,SH_STA_SCIDEN,Number,Male,,,,140.0
2018,SH_STA_SCIDEN,Number,Male,,,,120.0
2019,SH_STA_SCIDEN,Number,Male,,,,137.0
2020,SH_STA_SCIDEN,Number,Male,,,,144.0
2021,SH_STA_SCIDEN,Number,Male,,,,140.0
2009,SH_STA_SCIDEN,Number,Female,,,,80.0
2010,SH_STA_SCIDEN,Number,Female,,,,46.0
2011,SH_STA_SCIDEN,Number,Female,,,,70.0
2012,SH_STA_SCIDEN,Number,Female,,,,53.0
2013,SH_STA_SCIDEN,Number,Female,,,,48.0
2014,SH_STA_SCIDEN,Number,Female,,,,51.0
2015,SH_STA_SCIDEN,Number,Female,,,,51.0
2016,SH_STA_SCIDEN,Number,Female,,,,48.0
2017,SH_STA_SCIDEN,Number,Female,,,,40.0
2018,SH_STA_SCIDEN,Number,Female,,,,44.0
2019,SH_STA_SCIDEN,Number,Female,,,,36.0
2020,SH_STA_SCIDEN,Number,Female,,,,41.0
2021,SH_STA_SCIDEN,Number,Female,,,,54.0
2009,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,21.9
2010,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,19.6
2011,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,24.0
2012,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,19.3
2013,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,16.2
2014,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,17.7
2015,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,18.8
2016,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,17.7
2017,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,15.6
2018,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,14.3
2019,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,15.1
2020,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,16.3
2021,SH_STA_SCIDE,"Per 100,000 population",Both sexes or no breakdown by sex,,,,17.2
2009,SH_STA_SCIDE,"Per 100,000 population",Male,,,,30.9
2010,SH_STA_SCIDE,"Per 100,000 population",Male,,,,32.0
2011,SH_STA_SCIDE,"Per 100,000 population",Male,,,,36.9
2012,SH_STA_SCIDE,"Per 100,000 population",Male,,,,30.3
2013,SH_STA_SCIDE,"Per 100,000 population",Male,,,,24.8
2014,SH_STA_SCIDE,"Per 100,000 population",Male,,,,27.4
2015,SH_STA_SCIDE,"Per 100,000 population",Male,,,,29.4
2016,SH_STA_SCIDE,"Per 100,000 population",Male,,,,27.8
2017,SH_STA_SCIDE,"Per 100,000 population",Male,,,,24.9
