Year,SERIES,UNIT_MEASURE,Value
2012,Number of persons who received treatment for drug abuse,Number,323
2013,Number of persons who received treatment for drug abuse,Number,375
2014,Number of persons who received treatment for drug abuse,Number,385
2015,Number of persons who received treatment for drug abuse,Number,455
2016,Number of persons who received treatment for drug abuse,Number,486
2017,Number of persons who received treatment for drug abuse,Number,534
2018,Number of persons who received treatment for drug abuse,Number,540
2019,Number of persons who received treatment for drug abuse,Number,573
2020,Number of persons who received treatment for drug abuse,Number,597
2021,Number of persons who received treatment for drug abuse,Number,608
