Year,SERIES,UNIT_MEASURE,AGE,Sex,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Value
2015,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,33.2
2016,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,33.6
2017,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,39.2
2018,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,43.3
2019,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,41.3
2020,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,49.3
2021,SE_PRE_PARTN,Percent,Y5,Both sexes or no breakdown by sex,,,,,,,,,,11.4
2015,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,32.9
2016,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,34.4
2017,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,39.6
2018,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,43.4
2019,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,40.4
2020,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,39.6
2021,SE_PRE_PARTN,Percent,Y5,Male,,,,,,,,,,11.8
2015,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,33.5
2016,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,32.8
2017,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,38.8
2018,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,43.2
2019,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,42.3
2020,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,41.0
2021,SE_PRE_PARTN,Percent,Y5,Female,,,,,,,,,,11.0
2015,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,14.9
2016,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,16.7
2017,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,17.6
2018,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,21.4
2019,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,23.2
2020,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,20.0
2021,SE_PRE_PARTN,Percent,Y0T6,Both sexes or no breakdown by sex,,,,,,,,,,25.2
2015,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,15.0
2016,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,17.0
2017,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,17.6
2018,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,21.5
2019,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,23.1
2020,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,19.9
2021,SE_PRE_PARTN,Percent,Y0T6,Male,,,,,,,,,,25.0
2015,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,14.7
2016,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,16.5
2017,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,17.5
2018,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,21.2
2019,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,23.4
2020,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,20.1
2021,SE_PRE_PARTN,Percent,Y0T6,Female,,,,,,,,,,25.3
2015,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,28.1
2016,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,29.4
2017,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,31.9
2018,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,44.7
2019,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,44.3
2020,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,37.6
2021,SE_PRE_PARTN,Percent,Y4T6,Both sexes or no breakdown by sex,,,,,,,,,,39.3
