Year,SERIES,UNIT_MEASURE,Sex,Degree of urbanisation,Age,Education level,COMPOSITE_BREAKDOWN,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2014,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,38.7
2015,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,42.9
2016,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,41.1
2017,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,58.9
2018,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,55.5
2019,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,58.8
2020,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,60.8
2021,Percentage of persons aged 16–74 years who used a computer in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,57.6
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,38.0
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,43.4
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,42.8
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,64.9
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,71.2
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,72.1
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,72.8
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Both sexes or no breakdown by sex,,,,,,,,,,,,,,80.3
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,39.9
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,48.6
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,46.2
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,69.9
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,73.0
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,73.7
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,75.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Male,,,,,,,,,,,,,,82.6
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,36.3
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,40.3
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,40.2
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,61.8
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,69.3
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,70.4
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,70.5
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,Female,,,,,,,,,,,,,,78.2
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,55.4
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,54.9
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,53.8
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,73.2
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,78.0
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,80.8
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,75.1
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Urban,,,,,,,,,,,,,85.2
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,26.6
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,36.1
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,35.9
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,59.5
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,66.8
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,66.5
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,71.3
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,Other (rural/semi-urban),,,,,,,,,,,,,77.1
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,91.3
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,90.5
