Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Value
2018,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 1: overarching legal frameworks and public life",Percent,,,,,,,,,91.7
2019,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 1: overarching legal frameworks and public life",Percent,,,,,,,,,91.7
2020,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 1: overarching legal frameworks and public life",Percent,,,,,,,,,91.7
2021,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 1: overarching legal frameworks and public life",Percent,,,,,,,,,91.7
2018,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 2: violence against women",Percent,,,,,,,,,84.6
2019,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 2: violence against women",Percent,,,,,,,,,84.6
2020,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 2: violence against women",Percent,,,,,,,,,84.6
2021,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 2: violence against women",Percent,,,,,,,,,84.6
2018,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 3: employment and economic benefits",Percent,,,,,,,,,96.0
2019,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 3: employment and economic benefits",Percent,,,,,,,,,96.0
2020,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 3: employment and economic benefits",Percent,,,,,,,,,96.0
2021,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 3: employment and economic benefits",Percent,,,,,,,,,96.0
2018,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 4: marriage and family",Percent,,,,,,,,,84.6
2019,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 4: marriage and family",Percent,,,,,,,,,84.6
2020,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 4: marriage and family",Percent,,,,,,,,,84.6
2021,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 4: marriage and family",Percent,,,,,,,,,84.6
