Year,SERIES,UNIT_MEASURE,Sex,Age,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Value
2009,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,21.4
2010,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,23.6
2011,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,24.5
2012,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,25.6
2013,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,27.0
2014,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,25.7
2015,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,25.2
2016,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,24.8
2017,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,21.0
2018,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,17.2
2019,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,11.7
2020,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,12.9
2021,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 years old and over,,,,,,,,,,,,,,14.3
2009,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,20.6
2010,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,22.0
2011,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,23.0
2012,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,23.8
2013,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,25.3
