Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Value
2009.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.4
2010.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.5
2011.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.4
2012.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.4
2013.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.5
2014.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.3
2015.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.4
2016.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.5
2017.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.6
2018.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.7
2019.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.7
2020.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.0
2021.0,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,",Percent,,,1.3
,,,,,
,,,,,
