Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2020,Volume of goods transport,Tonne kilometres,Aire,0.0
2018,Volume of goods transport,Tonne kilometres,Inland waterway transport,0.0
2019,Volume of goods transport,Tonne kilometres,Inland waterway transport,0.0
2018,Volume of goods transport,Tonne kilometres,Railway transport,1187941000.0
2019,Volume of goods transport,Tonne kilometres,Railway transport,801400000.0
2020,Volume of goods transport,Tonne kilometres,Railway transport,727000000.0
2018,Volume of goods transport,Tonne kilometres,Road and urban transport,4303121000.0
2019,Volume of goods transport,Tonne kilometres,Road and urban transport,3461400000.0
2020,Volume of goods transport,Tonne kilometres,Road and urban transport,3340000000.0
2019,Volume of passenger transport,Passenger kilometres,Aire,7353050.0
2020,Volume of passenger transport,Passenger kilometres,Aire,1812510.0
2018,Volume of passenger transport,Passenger kilometres,Railway transport,40000000.0
2019,Volume of passenger transport,Passenger kilometres,Railway transport,4751600000.0
2020,Volume of passenger transport,Passenger kilometres,Railway transport,3256000000.0
2018,Volume of passenger transport,Passenger kilometres,Road and urban transport,16610000000.0
2019,Volume of passenger transport,Passenger kilometres,Road and urban transport,16706400000.0
2020,Volume of passenger transport,Passenger kilometres,Road and urban transport,12451000000.0
