Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Value
2009.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,462.7
2010.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,403.2
2011.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,350.8
2012.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,336.6
2013.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,394.8
2014.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,382.6
2015.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,332.8
2016.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,241.1
2017.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,305.1
2018.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,293.7
2019.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,488.1
2020.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,369.4
2021.0,Researchers (in full-time equivalent) per million inhabitants,Per million population,,,,,,481.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
