Year,Value,UNIT_MEASURE,SERIES
2009,3.0,Number,ER_PTD_TERREC
2010,3.0,Number,ER_PTD_TERREC
2011,4.0,Number,ER_PTD_TERREC
2012,8.0,Number,ER_PTD_TERREC
2013,12.0,Number,ER_PTD_TERREC
2014,12.0,Number,ER_PTD_TERREC
2015,16.0,Number,ER_PTD_TERREC
2016,18.0,Number,ER_PTD_TERREC
2017,19.0,Number,ER_PTD_TERREC
2018,21.0,Number,ER_PTD_TERREC
2019,26.0,Number,ER_PTD_TERREC
2020,27.0,Number,ER_PTD_TERREC
2021,31.0,Number,ER_PTD_TERREC
2009,20005.33,HA_A,ER_PTD_TERREC
2010,20005.33,HA_A,ER_PTD_TERREC
2011,20032.34,HA_A,ER_PTD_TERREC
2012,20367.49,HA_A,ER_PTD_TERREC
2013,20734.13,HA_A,ER_PTD_TERREC
2014,20734.13,HA_A,ER_PTD_TERREC
2015,21593.92,HA_A,ER_PTD_TERREC
2016,21657.03,HA_A,ER_PTD_TERREC
2017,27972.35,HA_A,ER_PTD_TERREC
2018,28306.07,HA_A,ER_PTD_TERREC
2019,32106.1,HA_A,ER_PTD_TERREC
2020,48822.63,HA_A,ER_PTD_TERREC
2021,53533.58,HA_A,ER_PTD_TERREC
2018,2.0,Number,ER_PTD_FRHWTREC
2019,3.0,Number,ER_PTD_FRHWTREC
2020,3.0,Number,ER_PTD_FRHWTREC
2021,4.0,Number,ER_PTD_FRHWTREC
2018,3695.05,HA_A,ER_PTD_FRHWTREC
2019,3800.39,HA_A,ER_PTD_FRHWTREC
2020,3800.39,HA_A,ER_PTD_FRHWTREC
2021,4121.08,HA_A,ER_PTD_FRHWTREC
