Year,Value,UNIT_MEASURE,SERIES
2009,27900,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2010,16730,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2011,24890,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2012,38155,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2013,16630,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2014,8630,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2015,8930,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2016,1730,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2017,830,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2018,107015,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2019,83584,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2020,114740,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
2021,220980,in BAM,Public expenditure on conservation and sustainable use of biodiversity and ecosystems
