Year,SERIES,UNIT_MEASURE,Pol,Starost,Value
2011,Veličina siromaštva po polu nosioca domaćinstva,Procenat,Muškarci,,13.5
2011,Veličina siromaštva po polu nosioca domaćinstva,Procenat,Žene,,18.7
2015,Veličina siromaštva po polu nosioca domaćinstva,Procenat,Muškarci,,12.1
2015,Veličina siromaštva po polu nosioca domaćinstva,Procenat,Žene,,18.6
2011,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,Ispod 35 godina,0.0
2011,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,36 do 45 godina,10.8
2011,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,46 do 55 godina,15.6
2011,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,56 do 65 godina,11.7
2011,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,65 godina i više,19.5
2015,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,Ispod 35 godina,0.0
2015,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,36 do 45 godina,12.7
2015,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,46 do 55 godina,10.5
2015,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,56 do 65 godina,11.7
2015,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Procenat,,65 godina i više,19.2
