Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Pristup uslugama,Value
2011,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Veoma teško,3.5
2011,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Teško,20.4
2011,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Lako,58.7
2011,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Veoma lako,16.7
2011,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Usluga se ne koristi,0.0
2015,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Veoma teško,6.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Teško,18.9
2015,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Lako,58.4
2015,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Veoma lako,15.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Prodavnica mješovite robe,Usluga se ne koristi,0.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Veoma teško,5.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Teško,28.6
2011,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Lako,42.5
2011,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Veoma lako,11.6
2011,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Usluga se ne koristi,12.3
2015,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Veoma teško,13.5
2015,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Teško,27.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Lako,39.9
2015,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Veoma lako,11.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Bankarske usluge,Usluga se ne koristi,7.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Veoma teško,4.3
2011,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Teško,24.8
2011,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Lako,51.1
2011,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Veoma lako,12.9
2011,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Usluga se ne koristi,7.0
2015,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Veoma teško,11.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Teško,23.5
2015,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Lako,48.6
2015,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Veoma lako,12.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Poštanske usluge,Usluga se ne koristi,3.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Veoma teško,3.4
2011,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Teško,22.9
2011,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Lako,50.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Veoma lako,12.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Usluga se ne koristi,11.7
2015,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Veoma teško,8.4
2015,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Teško,23.0
2015,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Lako,46.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Veoma lako,11.3
2015,Pristupačnost domaćinstva uslugama,Procenat,Javni transport,Usluga se ne koristi,11.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Veoma teško,4.5
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Teško,30.3
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Lako,52.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Veoma lako,12.5
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Usluga se ne koristi,0.0
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Veoma teško,10.2
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Teško,28.0
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Lako,48.7
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Veoma lako,12.6
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova primarne zdravstvene zaštite,Usluga se ne koristi,0.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Veoma teško,0.0
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Teško,8.3
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Lako,20.8
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Veoma lako,6.4
2011,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Usluga se ne koristi,63.6
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Veoma teško,4.3
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Teško,8.8
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Lako,22.4
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Veoma lako,7.1
2015,Pristupačnost domaćinstva uslugama,Procenat,Ustanova predškolskog i osnovnog obrazovanja,Usluga se ne koristi,57.0
2011,"Stanovništvo koje u domaćinstvu nema kupatilo, tuš i nužnik s vodokotlićem",Procenat,Nema kupatilo sa WC-om,_T,17.7
2011,"Stanovništvo koje u domaćinstvu nema kupatilo, tuš i nužnik s vodokotlićem",Procenat,Nema WC posebno,_T,83.3
2015,"Stanovništvo koje u domaćinstvu nema kupatilo, tuš i nužnik s vodokotlićem",Procenat,Nema kupatilo sa WC-om,_T,15.8
2015,"Stanovništvo koje u domaćinstvu nema kupatilo, tuš i nužnik s vodokotlićem",Procenat,Nema WC posebno,_T,22.9
2011,Stanovništvo koje ne može da održi dom dovoljno toplim,Procenat,Bez podjele,,30.0
2015,Stanovništvo koje ne može da održi dom dovoljno toplim,Procenat,Bez podjele,,21.2
