Year,SERIES,UNIT_MEASURE,Pol,Value
2018,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,301791
2019,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,322053
2020,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,335470
2021,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,486197
2022,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,526631
2023,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,557866
2018,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Muškarci,221528
2019,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Muškarci,235748
2020,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Muškarci,238185
2021,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Muškarci,349368
2022,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Muškarci,374262
2023,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Muškarci,394219
2018,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Žene,80263
2019,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Žene,86305
2020,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Žene,97285
2021,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Žene,136828
2022,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Žene,152369
2023,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Broj,Žene,163647
2018,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,112670
2019,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,113906
2020,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,113369
2021,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,168688
2022,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,187663
2023,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,205760
2018,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Muškarci,75233
2019,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Muškarci,75664
2020,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Muškarci,72449
2021,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Muškarci,107719
2022,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Muškarci,118680
2023,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Muškarci,129962
2018,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Žene,37437
2019,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Žene,38242
2020,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Žene,40920
2021,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Žene,60969
2022,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Žene,68983
2023,Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Broj,Žene,75798
2018,Suvlasnici/ce u omjeru manjem od ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,293012
2019,Suvlasnici/ce u omjeru manjem od ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,330384
2020,Suvlasnici/ce u omjeru manjem od ½ nepokretnosti – zemljišta i objekata,Broj,Oba pola ili bez podjele po polu,343529
